Time(Iteration),UCBLinearBandit
0,0.37035304772068506
1,0.8850428073864872
2,1.2372026488913943
3,1.6138498494347577
4,1.8702929871057627
5,2.1393973851356596
6,2.4273185955976215
7,2.608070007524776
8,2.7533824065997443
9,2.9091745189491975
10,3.045398877167004
11,3.1600454383371614
12,3.253604990365795
13,3.3872044555362066
14,3.4754719368900466
15,3.6255468026146156
16,3.814395788964518
17,3.9550459093024792
18,4.054919362586707
19,4.133255149654361
20,4.214139702202027
21,4.267431790481168
22,4.409451551553327
23,4.415039763251609
24,4.42062797494989
25,4.426216186648172
26,4.431804398346453
27,4.437392610044735
28,4.442980821743016
29,4.448569033441298
30,4.454157245139579
31,4.459745456837861
32,4.465333668536142
33,4.470921880234424
34,4.476510091932705
35,4.482098303630987
36,4.487686515329268
37,4.49327472702755
38,4.498862938725831
39,4.504451150424113
40,4.510039362122394
41,4.515627573820676
42,4.521215785518957
43,4.526803997217239
44,4.53239220891552
45,4.537980420613802
46,4.543568632312083
47,4.549156844010365
48,4.554745055708646
49,4.560333267406928
50,4.565921479105209
51,4.571509690803491
52,4.577097902501772
53,4.582686114200054
54,4.588274325898335
55,4.593862537596617
56,4.599450749294898
57,4.60503896099318
58,4.610627172691461
59,4.616215384389743
60,4.621803596088024
61,4.627391807786306
62,4.632980019484587
63,4.656715405877938
64,4.696635296143884
65,4.757136004437256
66,4.8323847662859665
67,4.893322383673848
68,4.937067569269026
69,4.964533077445062
70,5.033636127179772
71,5.045787631499859
72,5.050843762618544
73,5.055899893737228
74,5.060956024855914
75,5.066012155974598
76,5.071068287093283
77,5.076124418211967
78,5.081180549330652
79,5.086236680449337
80,5.091292811568022
81,5.096348942686706
82,5.101405073805391
83,5.106461204924075
84,5.111517336042761
85,5.116573467161445
86,5.12162959828013
87,5.126685729398814
88,5.131741860517499
89,5.136797991636184
90,5.141854122754869
91,5.146910253873553
92,5.151966384992238
93,5.157022516110922
94,5.175921007067107
95,5.201611266989749
96,5.254475064426346
97,5.286559631214323
98,5.335581593232302
99,5.385118731419938
100,5.420062024628956
101,5.448044142050074
102,5.462989889112471
103,5.479905036225029
104,5.48549324792331
105,5.491081459621592
106,5.496669671319873
107,5.502257883018155
108,5.507846094716436
109,5.513434306414718
110,5.519022518112999
111,5.524610729811281
112,5.530198941509562
113,5.535787153207844
114,5.541375364906125
115,5.546963576604407
116,5.552551788302688
117,5.55814000000097
118,5.563728211699251
119,5.569316423397533
120,5.574904635095814
121,5.580492846794096
122,5.586081058492377
123,5.591669270190659
124,5.59725748188894
125,5.602845693587222
126,5.608433905285503
127,5.614022116983785
128,5.619610328682066
129,5.625198540380348
130,5.630786752078629
131,5.636374963776911
132,5.641963175475192
133,5.647551387173474
134,5.653139598871755
135,5.658727810570037
136,5.664316022268318
137,5.6699042339666
138,5.675492445664881
139,5.681080657363163
140,5.686668869061444
