Time(Iteration),PHELinearBanditTheta
0,1.0206629462632963
1,1.0276799471210645
2,1.037723582087932
3,1.037303947802505
4,1.0320877715042207
5,1.0334005314594221
6,1.0321165773353083
7,1.0260579813208215
8,1.0288713380040235
9,1.0266068406563063
10,1.024181270387459
11,1.0237518486007329
12,1.0247030981528447
13,1.023822182517957
14,1.0238428477487267
15,1.0233364762897348
16,1.0239546158313275
17,1.022180355519525
18,1.023860321347541
19,1.0239800716355183
20,1.024498335810564
21,1.0234563707017368
22,1.0231980165061525
23,1.0231410509901222
24,1.0238814365437698
25,1.0243804797388456
26,1.0241183932145703
27,1.0251142676938687
28,1.0251205098015563
29,1.02511100814613
30,1.0243626430858308
31,1.0237294605954559
32,1.0245231761510099
33,1.0254504580224342
34,1.0255294995114903
35,1.025386563204916
36,1.0262476569725367
37,1.0263046304059198
38,1.0266442677317211
39,1.026363213195203
40,1.0251752276890405
41,1.0248765010930039
42,1.0250934139168306
43,1.0245304262321977
44,1.024503001995215
45,1.0242928217313207
46,1.0247259721022186
47,1.024750614652545
48,1.0258023305162656
49,1.0260980259388186
50,1.02601101008266
51,1.0267030306427727
52,1.0264874150907075
53,1.0273310073361301
54,1.0273909610258845
55,1.0275608851837177
56,1.0276420652427132
57,1.0273462539914209
58,1.0273491574698574
59,1.0270207801082756
60,1.0266884404764103
61,1.0265734621190759
62,1.0260073057166987
63,1.026304474125308
64,1.0262997072111875
65,1.0265846161770003
66,1.0265266493681253
67,1.0265382798583873
68,1.0260262779510547
69,1.026028436298079
70,1.026626490465148
71,1.0273283163077087
72,1.0273553999525784
73,1.0277249694949815
74,1.027831317874206
75,1.0278161071444127
76,1.0278185264067565
77,1.0278019140137007
78,1.0273835648703895
79,1.0277827023685726
80,1.0276962546132231
81,1.0275215421413397
82,1.0275795003219736
83,1.0276191908685928
84,1.027835942156496
85,1.0275722122784976
86,1.0280037318657222
87,1.028298898749295
88,1.0282774956694263
89,1.0280943088426187
90,1.028231561469939
91,1.0285766073811278
92,1.0289414586753924
93,1.029104462632525
94,1.0289039611326831
95,1.0283840128203952
96,1.028318945641923
97,1.028250013974359
98,1.0283142814002912
99,1.027872377078278
100,1.0280798810564586
101,1.0286242672412584
102,1.028521159987112
103,1.0282627471784516
104,1.0281276781000592
105,1.028077552979927
106,1.0278962561608704
107,1.0277653006745038
108,1.027685789828993
109,1.0276476327866164
110,1.0273816908836388
111,1.0272739791098568
112,1.0268171224629696
113,1.0268221141333804
114,1.0270241492167618
115,1.0270460680251614
116,1.0272571736286982
117,1.0272366799597454
118,1.027417770789045
119,1.027669823577853
120,1.0272847552605089
121,1.0272015063826276
122,1.027169835353612
123,1.0273197506978522
124,1.0269463521061735
125,1.0271197835925312
126,1.0270620091692766
127,1.027036051502309
128,1.027007097467178
129,1.0269304845071516
130,1.0270310981536483
131,1.0270209018002068
