Time(Iteration),EpsilonGreedyLinearBanditTheta,UCBLinearBanditTheta,TSLinearBanditTheta,PHELinearBanditTheta
0,0.9862667911757221,0.9830487743535018,0.987782127480639,0.9830487743535018
1,0.9803351990756484,0.9702065064549327,0.9714377122640787,0.9702065064549327
2,0.9729181824948094,0.9673928640485672,0.9663890971628659,0.9673928640485672
3,0.9667153128672309,0.9526585302147899,0.9432431877603094,0.9526585302147899
4,0.9562473514452396,0.935106445971021,0.9268641858028424,0.935106445971021
5,0.9368812514736057,0.934911619912272,0.9184532505697798,0.934911619912272
6,0.9125990765253869,0.9274391866834085,0.8961528626217458,0.9274391866834085
7,0.9080943274955603,0.907904185844842,0.8805717338897118,0.907904185844842
8,0.9074849753618318,0.9048311677031394,0.8660019314890983,0.9048311677031394
9,0.8934088084276199,0.9024653081543679,0.856620945879748,0.9024653081543679
10,0.8853383240203876,0.8977085981112388,0.8492963010883698,0.8977085981112388
11,0.882955398050786,0.892233627039927,0.8258548511373787,0.892233627039927
12,0.8767418488017867,0.8887053960593845,0.8085814670980114,0.8887053960593845
13,0.875459896814192,0.8910867034989675,0.7826826087918544,0.8910867034989675
14,0.8709088007371223,0.885822995476205,0.7708434028076925,0.885822995476205
15,0.8708803371406111,0.8855798741661906,0.7544932342186577,0.8855798741661906
16,0.8648533456951484,0.8815593582294111,0.7028293937094031,0.8815593582294111
17,0.8608924720559241,0.8819304037953497,0.6895965714752561,0.8819304037953497
18,0.8614926186233817,0.8807166459031018,0.6762635956474614,0.8807166459031018
19,0.8595788068034095,0.8789691758102229,0.6508889657423478,0.8789691758102229
20,0.8559946464785628,0.8779948225312731,0.6320049295415664,0.8779948225312731
21,0.8491950904947847,0.8722744146995088,0.6135149631574,0.8722744146995088
22,0.8441043263927763,0.8662839650107029,0.5923427608715601,0.8662839650107029
23,0.8431053422988759,0.8581283983626846,0.5803962371256444,0.8581283983626846
24,0.8420222758073331,0.8566051923577813,0.5627361112055034,0.8566051923577813
25,0.83687978149408,0.8531392658887642,0.533955967467009,0.8531392658887642
26,0.8372058910982247,0.8502099255205211,0.5048609236053332,0.8502099255205211
27,0.8345737983857123,0.8486867452347593,0.4967649309311094,0.8486867452347593
28,0.832916162462363,0.8320098721365327,0.49364273103335615,0.8320098721365327
29,0.831757086526357,0.8265055042338755,0.4679081749162283,0.8265055042338755
30,0.8319584218427412,0.8127028450533486,0.45056278426538354,0.8127028450533486
31,0.8325680014801924,0.8129564410343137,0.4467798830344581,0.8129564410343137
32,0.8271231700008868,0.8121550975664695,0.4462855279265708,0.8121550975664695
33,0.8256972790341524,0.8114076086901669,0.44878296117636546,0.8114076086901669
34,0.8219124432156992,0.8096265104723097,0.44770646467707786,0.8096265104723097
35,0.8125625268000481,0.8074405499615611,0.44469466540851527,0.8074405499615611
36,0.8117058152353834,0.7909264090089811,0.437546716398137,0.7909264090089811
37,0.8088491703836178,0.7879768337222177,0.4356418359063424,0.7879768337222177
38,0.7966517165012033,0.7827319979544315,0.4338640530491268,0.7827319979544315
39,0.7930114290001647,0.7811125102220535,0.42727008979998404,0.7811125102220535
40,0.7932702280703592,0.7807526671659356,0.4168220597729759,0.7807526671659356
41,0.7934618340589382,0.7786777075062505,0.4177838638512895,0.7786777075062505
42,0.7935612083733252,0.7795154698446612,0.4068585475471096,0.7795154698446612
43,0.7928962485944391,0.7581884251485489,0.4012147794504273,0.7581884251485489
44,0.7941965449735954,0.7459366168815399,0.38912015953671575,0.7459366168815399
45,0.7939819340466387,0.7450411296956736,0.3866261799023017,0.7450411296956736
46,0.7937521839791811,0.7450051495308575,0.3813083330246646,0.7450051495308575
47,0.7943780551497724,0.7450124191658961,0.37864225283656977,0.7450124191658961
48,0.7927886901076098,0.7448947001476696,0.3738168501152682,0.7448947001476696
49,0.7926823931764406,0.744937059910736,0.36956008241661603,0.744937059910736
50,0.7906345460604859,0.745015851961477,0.36317901468510516,0.745015851961477
51,0.7908553820777573,0.7452344805638865,0.3602708100917218,0.7452344805638865
52,0.7892046859908518,0.7449964161713979,0.3598914892662435,0.7449964161713979
53,0.7884775494349381,0.7448863412815718,0.35898373050111626,0.7448863412815718
54,0.7737535145690064,0.744801852640474,0.35728712414954844,0.744801852640474
55,0.7711148069066339,0.7427331304315312,0.3540590366018582,0.7427331304315312
56,0.7709570267422924,0.742452846711257,0.35152656843419827,0.742452846711257
57,0.770976135417012,0.7411600718012383,0.34839281068051886,0.7411600718012383
58,0.7670001716209098,0.7409952267256984,0.34607691856086287,0.7409952267256984
59,0.762771428266058,0.7397371997271116,0.3428379674077028,0.7397371997271116
60,0.7605248686463213,0.7364795842537332,0.34207193882327636,0.7364795842537332
61,0.7576566849873345,0.7364936892103311,0.33770082655602196,0.7364936892103311
62,0.7579558284184246,0.7283753373635979,0.33677829610072696,0.7283753373635979
63,0.7572340108923831,0.7284549072360746,0.33372929263808004,0.7284549072360746
64,0.7574418098263802,0.7278157304116639,0.33211529507253895,0.7278157304116639
65,0.7577449731347109,0.7246379225482096,0.33123358581116075,0.7246379225482096
66,0.7575961337915104,0.7195881037605959,0.32323697240049387,0.7195881037605959
67,0.7488029137235074,0.7199360379237328,0.3257490463842031,0.7199360379237328
68,0.7428916552778574,0.7208086405648759,0.32590049193591314,0.7208086405648759
69,0.7430927917689056,0.7205932063779474,0.32516723899887856,0.7205932063779474
70,0.7423569610175431,0.720164189018638,0.32463286943477276,0.720164189018638
