Time(Iteration),EpsilonGreedyLinearBanditTheta
0,0.9608396511837247
1,0.9489224609849511
2,0.927251627700244
3,0.9178503062910996
4,0.9032168703143778
5,0.9019037662226326
6,0.8849763580211512
7,0.8853128015998639
8,0.8833875220380218
9,0.87921821279683
10,0.8761853957380742
11,0.871952555181805
12,0.8656701176369206
13,0.863530658622594
14,0.8611501306357958
15,0.855302780483336
16,0.8528690134529047
17,0.8510164871477575
18,0.8523537986301365
19,0.8464903981065802
20,0.8400600556638265
21,0.8379524267350458
22,0.8131421051912613
23,0.8080214178442725
24,0.8039591795564324
25,0.8021731797942016
26,0.8016640650879461
27,0.8016674865059684
28,0.7959710888850859
29,0.794333567870274
30,0.7942345153717215
31,0.7880920788769697
32,0.7836292275683853
33,0.7825695004452068
34,0.780569615796809
35,0.7740190524678497
36,0.774138904140128
37,0.7740040687467137
38,0.7724006510932881
39,0.7730367153717246
40,0.7733161167458916
41,0.7727337778967269
42,0.7718997474302806
43,0.7704177708015083
44,0.7704411150097819
45,0.7679910376384814
46,0.7662807481530591
47,0.7552695826777309
48,0.7534286193167123
49,0.7556912865806283
50,0.7528487028087897
51,0.7521522497625608
52,0.7522742443826032
53,0.7310887642403567
54,0.729837016658856
55,0.7304827767768776
56,0.7307486686603102
57,0.730694106761965
58,0.7320875542754499
59,0.7326934531503408
60,0.7331731381508746
61,0.7265707676125246
62,0.7248086463177308
63,0.7132172344260717
64,0.7125869660235692
65,0.7103529035189056
66,0.7024355426669361
67,0.7009382388153561
68,0.6982379604446672
69,0.6976997058104059
70,0.6991688045784795
71,0.6983763249303252
72,0.6980977468300006
73,0.6974332202522865
74,0.698083507586427
75,0.6981610507458431
76,0.6964184918937116
77,0.6939839362524781
78,0.691088084605327
79,0.6898708339238302
80,0.6866741736956435
81,0.686145993809646
82,0.6860899803258282
83,0.684063250161363
84,0.6798783345407371
85,0.6789550972774534
86,0.6694768887023291
87,0.6685841954246445
88,0.668625437325083
89,0.6626492468462282
90,0.6618209509405008
91,0.6632333407721778
92,0.6569537323462933
93,0.6555969518139769
94,0.6528175672424423
95,0.6528540171696925
96,0.6498855991785605
97,0.6500296312480052
98,0.6487284706722295
99,0.6456568048578292
100,0.6284802446200143
101,0.6279622179653684
102,0.6256227479753308
103,0.6257803216828771
104,0.6242707198358061
105,0.6196918198292356
106,0.6174892910958517
107,0.6187342199083002
108,0.616567437156259
109,0.6164888648221452
110,0.6152914281536619
111,0.6140656803989752
112,0.6156712166799917
113,0.6112298993727411
114,0.6101622907884641
115,0.6101469273294707
116,0.6104775131392701
117,0.6100603370080255
118,0.6101339179586218
119,0.610414411641058
120,0.6102692401865786
121,0.6107027578514075
122,0.6058691705015707
123,0.6054978542013244
124,0.6042555580669622
125,0.6024696858580264
126,0.6024538146955963
127,0.6024628392609637
128,0.6028899449066725
129,0.6026126256841617
130,0.5961993962487472
131,0.5957420696640663
132,0.5906576672352807
133,0.5908924478168888
134,0.5913885094937219
135,0.5807684655047332
136,0.5798896463856364
137,0.5782179159670995
138,0.578316553698872
139,0.5785559301333703
140,0.5792089848884754
141,0.5786580986821855
142,0.5787435772538976
143,0.5769340291381971
144,0.5637633311253879
145,0.5630699681384173
146,0.5630643783624436
147,0.5617352835638478
148,0.5617081043366549
149,0.5615838464080399
150,0.559987651666958
151,0.5600971964182095
152,0.5600945910641911
153,0.5591516132834482
154,0.5591666807867203
155,0.5591494862673463
156,0.5583389698968884
157,0.5584992430571644
158,0.5579449936256754
159,0.5577093261783524
160,0.5604941288749711
161,0.5601086341153273
162,0.5602533885068579
163,0.5572885507826812
164,0.5572816470499651
165,0.5572659737943789
166,0.5572963992411333
167,0.5577793868565646
168,0.5571441809823044
169,0.5570884936040427
170,0.5562780005002421
171,0.5562623655005039
172,0.5554698684009635
173,0.5552892793593559
174,0.5548727455256173
175,0.5550496081745115
176,0.5550371703957778
177,0.5549543121396823
178,0.5519614635147245
179,0.5483964580965088
180,0.5482569340350815
181,0.548089534032668
182,0.5227296077685523
183,0.5224557043004003
184,0.5173022448766142
185,0.5178278623230823
186,0.5176389937897541
187,0.5171702283440098
188,0.5189601371379432
189,0.5178982078679303
190,0.5178989649839247
191,0.513613003395333
192,0.513612901788645
193,0.5133181319940906
194,0.5133816545493406
195,0.513135280532288
196,0.5129585431419186
