Time(Iteration),EpsilonGreedyMultiArmedBandit,UCBMultiArmedBandit,PHEMultiArmedBandit
0,0.363988358822967,0.37030561547348145,0.37030561547348145
1,0.8249909417184826,0.6515919028720446,0.6515919028720446
2,1.0806720437357948,0.9474643855162007,0.9474643855162007
3,1.3952284887818043,1.3791868168270782,1.3791868168270782
4,1.7327021622245475,1.8295396669774828,1.8295396669774828
5,2.0250510263881596,2.2263302343379903,2.2263302343379903
6,2.503675185834902,2.5290938509800687,2.5290938509800687
7,2.839465266981595,2.957747327223666,2.957747327223666
8,3.15484795258922,3.3192995156840617,3.3192995156840617
9,3.366652701342948,3.736974751714848,3.736974751714848
10,3.807938449342481,4.12698808590776,4.12698808590776
11,4.066833580798155,4.542569090158809,4.542569090158809
12,4.302163696507406,4.941729613575924,4.941729613575924
13,4.45135629239586,5.3721645049452285,5.3721645049452285
14,4.652214815357068,5.820304315213944,5.820304315213944
15,5.033561010211253,6.215619899718988,6.215619899718988
16,5.275699989262137,6.544193812719596,6.544193812719596
17,5.489788766752425,7.0771104112350995,7.0771104112350995
18,5.774167648897768,7.435401564371889,7.435401564371889
19,5.8771365119434815,7.915634408261913,7.915634408261913
20,6.038038154683358,8.215104358926204,8.215104358926204
21,6.3733354202375585,8.611665400898636,8.611665400898636
22,6.508099951493312,8.98201374238462,8.98201374238462
23,6.811193087285977,9.323552940187763,9.323552940187763
24,7.009744277140447,9.73934000389542,9.73934000389542
25,7.113021546303214,9.817085743071695,9.939271004793573
26,7.293182682779357,9.877062481905082,10.226705892010907
27,7.616310365523974,10.033558644980285,10.540393461697857
28,7.755557288578435,10.232653487386521,10.904166832155507
29,7.983209661645603,10.45721998736829,11.200247650590097
30,8.234985214500485,10.685790089951109,11.514090691744071
31,8.411421811748955,10.950091596107645,11.897237777724328
32,8.556510782204901,11.28504319425087,12.228704914461634
33,8.733459438128635,11.575422539215213,12.501227408987132
34,8.810900298692392,11.909641000710014,12.810033883278788
35,8.908185834107062,12.280464587435343,13.155050174093441
36,8.948320418688331,12.656650477653717,13.660034745975272
37,9.187671232551756,13.077127951530187,13.884793873355264
38,9.318503131777053,13.517002532288075,14.251246687318886
39,9.71778292179828,13.924739840061221,14.673310631801948
40,9.788969308684086,14.315954265455181,15.102778249616208
41,9.915833948533844,14.817517152461141,15.445207451191298
42,10.037404634452432,15.285165219153257,15.747656305387597
43,10.148166392457814,15.80465202462183,16.094758576569195
44,10.381376197047631,16.30650317594423,16.4809607114719
45,10.41714138738745,16.822708608320408,16.68868805536832
46,10.51752264307017,17.44512213990707,17.098092402135897
47,10.598590476658927,18.085895452496327,17.415251137751603
48,10.63402548593559,18.654063619359714,17.783659496999675
49,10.663132831924946,19.139987733319757,18.083959310470547
50,10.896103983238898,19.184595180248078,18.440400334465178
51,10.929834528721134,19.444966519494976,18.836354857311285
52,11.021305399555775,19.631282446523528,19.110205803702378
53,11.206000866993262,19.92305822052898,19.4393163552951
54,11.279795692802242,20.144953025459905,19.834866143156923
55,11.32413338537288,20.361497459086003,20.12247714375999
56,11.433165272534477,20.615027752596013,20.35913855656394
57,11.55776539644589,20.877976126704425,20.682499312303595
58,11.659019207380428,21.175150219174885,20.947313068835044
59,11.822442743581028,21.41570007795727,21.408877139425158
60,11.907629170746704,21.7033876994606,21.70411713781428
61,11.92052536435516,22.067729654253924,21.995647478049975
62,12.065537971062778,22.432620574896255,22.333171745710878
63,12.10305911556189,22.785491821447263,22.52208451296541
64,12.11595530917035,23.038282629943104,22.8111049579908
65,12.20533882052335,23.501832321959835,23.171716246226673
66,12.29328431755784,23.9052562016549,23.575457475751556
67,12.351503600108106,24.189579288787677,23.840854582162784
68,12.480990499709545,24.558930972141884,24.176008446744696
69,12.696557299882357,24.962558875806582,24.48655606985165
