Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit,UCBMultiArmedBandit,UCBLinearBandit,TSMultiArmedBandit,TSLinearBandit,PHEMultiArmedBandit,PHELinearBandit
0,0.34409762383211007,0.3598111871757992,0.468306595982711,0.468306595982711,0.39438378191937373,0.4258908872099371,0.468306595982711,0.468306595982711
1,0.7350481654643043,0.7152550690254578,0.8537525685532087,0.8537525685532087,0.8101672791916806,0.7546187877548663,0.8537525685532087,0.8537525685532087
2,1.0621671810186688,1.0613066660337231,1.1362420104334665,1.1203973799428404,1.2763719425920521,1.1182038451592855,1.1362420104334665,1.1203973799428404
3,1.4616317687147171,1.255830799529407,1.5641871930246594,1.398012389596587,1.7258571153304398,1.54306211096717,1.5641871930246594,1.398012389596587
4,1.7062503051253142,1.5795278140347953,1.9663733263516217,1.653597763695598,2.09126412582672,2.017305150428302,1.9663733263516217,1.653597763695598
5,1.9684881414758433,1.898554683248498,2.4226875432163033,1.9482205050475485,2.5262796503156895,2.496846606958336,2.4226875432163033,1.9482205050475485
6,2.1762567708039606,2.1839200979970546,2.8207214296201046,2.185894566773134,2.936004157458653,2.913237674448885,2.8207214296201046,2.185894566773134
7,2.4544603817795076,2.5606665116272342,3.1558043841726287,2.4594368522629497,3.3945086596181873,3.311797519875609,3.1558043841726287,2.4594368522629497
8,2.8362895903761562,2.928825358667527,3.4486717510848,2.68224770601936,3.7134492266070227,3.790747229561944,3.4486717510848,2.68224770601936
9,3.2793666200597906,3.204536588673938,3.9333415479562013,2.8539018727984566,4.117903167565894,4.153811071216919,3.9333415479562013,2.8539018727984566
10,3.521255364421646,3.4318453782966736,4.382308595267243,3.025232676935448,4.542183148273395,4.674330420008128,4.382308595267243,3.025232676935448
11,3.7120064558084396,3.652699064445181,4.847599681252602,3.145027440289783,4.971006896478834,5.0779648574136615,4.847599681252602,3.145027440289783
12,3.9567847229694935,3.7904605023149935,5.28093821962778,3.3077942382129955,5.393794658571183,5.427349308619876,5.28093821962778,3.3077942382129955
13,4.118920010538917,4.052743704335554,5.675893820645033,3.418853327730068,5.633428925977232,5.72217010271268,5.675893820645033,3.418853327730068
14,4.342627367457691,4.219597680139287,5.988978400799121,3.510404353011745,6.003806953013443,6.105883059652565,5.988978400799121,3.510404353011745
