Time(Iteration),PHELinearBanditTheta
0,1.06828479835977
1,1.0514764916775377
2,1.0429788398124864
3,1.0306771076420191
4,1.0426911304026742
5,1.036983356846938
6,1.0214267325550823
7,1.0474353645372123
8,1.0374186087756634
9,1.0411790252279487
10,1.0432348526830713
11,1.0397307526682236
12,1.0400093519209346
13,1.03517325745874
14,1.0439240483555452
15,1.0386254097500418
16,1.0339815402013397
17,1.039088844482391
18,1.0361181211522408
19,1.0349759482878838
20,1.029443439336024
21,1.0387570824101342
22,1.0362349381661566
23,1.0387650682854865
24,1.0376320753483068
25,1.0380583792808549
26,1.0325299094747817
27,1.0246467869852536
28,1.040165886028929
29,1.0381208373872473
30,1.0357011630327164
31,1.0352553910487285
32,1.036749722408422
33,1.0320680580156627
34,1.0354659768766488
35,1.0369982105932343
36,1.035472342217368
37,1.0393193115536454
38,1.0381230171444797
39,1.0368865165021786
40,1.0407502622470908
41,1.0385185031980426
42,1.0362999079622734
43,1.0322659447302163
44,1.0358887506724486
45,1.041480732369642
46,1.0372277872184017
47,1.0404334510069566
48,1.034832089558384
49,1.0339477676426567
50,1.0324202218592866
51,1.033041679677578
52,1.0341977334566028
53,1.0368295181921083
54,1.0340819376872372
55,1.0366393772722478
56,1.0366243011864498
57,1.0355341082677456
58,1.0349207260505686
59,1.040598310574095
60,1.0336359816328742
61,1.0360599840237872
62,1.03856344035855
63,1.0355048581693322
64,1.0333844481820085
65,1.0385809851490335
66,1.0400216873016337
67,1.0328800960361018
68,1.0372664661422266
69,1.0328995041915134
70,1.0386968313935019
71,1.033203721374536
72,1.035002505113665
73,1.0336186311743238
74,1.0324989714318538
75,1.0336770102335262
76,1.036750674939141
77,1.032212928823332
78,1.0347954246645898
79,1.0384143361599247
80,1.0373851758888049
81,1.0361433039094685
82,1.032500102488347
83,1.0348161784488166
84,1.0346021348736325
85,1.0297001742559142
86,1.0295544498986182
87,1.0378404174601448
88,1.033116323716855
89,1.0351657752572723
90,1.0323477940273231
91,1.0328773696314872
92,1.0350225625309446
93,1.036339406219696
94,1.035081472773803
95,1.0300059555334804
96,1.0421882907416946
97,1.0345562165474824
98,1.0337107651129267
99,1.0331784776458224
100,1.034229303644836
101,1.0342855475367632
102,1.0359500175025744
103,1.0371489015602868
104,1.03573077956392
105,1.0319149299420474
106,1.033624463514128
107,1.0331474310677753
108,1.037012266159521
109,1.0363791662839028
110,1.0373035910153197
111,1.0385193479554151
112,1.038009046796855
113,1.0314588341642117
114,1.0340157304536652
115,1.0308220268093717
116,1.0379167007268175
117,1.0310436529135982
118,1.0399954347318576
119,1.0360459372236215
120,1.0330915366291173
121,1.03770624304277
122,1.0351308761036169
123,1.036937965131962
124,1.0378024386641105
125,1.0347783846821712
126,1.0356905783882664
127,1.0301843328824998
128,1.0362481246220532
129,1.0333390268677116
130,1.0328543819881564
131,1.032993295337044
132,1.0338036641512982
133,1.0342792466564337
134,1.0352439727409117
135,1.0327252822982504
136,1.032663011466251
137,1.0357713593197257
138,1.0342769342423555
139,1.0322453658818176
140,1.0347620948682874
141,1.035877540669635
142,1.03329390468415
143,1.0366764853200399
144,1.0355199319852157
145,1.0334736438995924
146,1.0375162375648224
147,1.0361062437869357
148,1.0356074588269062
149,1.035049719946117
150,1.0352089276529042
151,1.0335851985964415
152,1.0333075444527282
153,1.0328616704480533
154,1.0342340023676082
155,1.0336329530349417
156,1.0348068009876168
157,1.0354054514719446
158,1.0346437087179756
159,1.0336325191415434
160,1.0340758713724354
161,1.0344068618214206
162,1.035911894877265
163,1.033440331154777
164,1.036444132452068
165,1.0355585810286134
166,1.0356500821736032
167,1.035737574969669
168,1.0312081214126732
169,1.0342264501105218
170,1.0370994466668715
171,1.0318191400536028
172,1.0352825631685607
173,1.036140825284138
174,1.0353899795608037
175,1.0388013190458287
176,1.0372555025313823
177,1.033826789684922
178,1.0345489068764855
179,1.0332889004515242
180,1.0326382952577884
181,1.031698012884498
182,1.0331932144211424
183,1.0378184871261862
184,1.0344590892972962
185,1.034079750632657
186,1.0378996431857552
187,1.0321720128415661
188,1.0339474526306085
189,1.036891414408947
190,1.0368167509417257
191,1.033922098699092
192,1.0352359048380408
193,1.0360419631298812
194,1.0340784753282484
195,1.0310349609514293
196,1.0343325029596493
197,1.031358725775241
198,1.0361761465632866
199,1.0331476868403335
200,1.033302322757909
201,1.0343600292965938
202,1.0342429348702555
203,1.0310141636358665
204,1.034797800021505
205,1.035801846159123
206,1.0358651054281847
207,1.0338458462460363
208,1.0340865624177336
209,1.0301772969871736
210,1.0358057544025132
211,1.0348295662023106
212,1.0346933514044414
213,1.0337486051465548
214,1.0363749256376895
215,1.0323148866763245
216,1.036284388852898
217,1.0372966308371876
218,1.0334593310841618
219,1.0328224706046172
220,1.0351406973659347
221,1.0352352021466804
222,1.0338336285621021
223,1.0343226353652613
224,1.0340402660238115
225,1.0358716935256922
226,1.0336088166944033
227,1.0332760143406234
228,1.0352418100515473
229,1.034145109737105
230,1.0315324223748088
231,1.0323105038458262
232,1.0322274382324692
233,1.0332152010848534
234,1.0362955527120137
235,1.0355386537841318
236,1.036519934206918
237,1.0350940634680585
238,1.0320944524142195
239,1.0356373679757938
240,1.034577657665483
241,1.0349485590522918
242,1.0371967087534253
243,1.0339637575611924
244,1.032597953845718
245,1.0364170863599806
246,1.03816958046098
247,1.0334196158251676
248,1.0354822174054321
249,1.0328045126226089
250,1.0339630687551375
251,1.0366971578372925
252,1.0354297057719477
253,1.0326161672692469
254,1.0324808846636975
255,1.03348683769225
256,1.0325965992886326
257,1.0353339612212182
258,1.0330940510216837
259,1.0346268661748854
260,1.0339985651780952
261,1.0368554845723998
262,1.0348587190907885
263,1.0339330181596993
264,1.0366677447233674
265,1.0381794673788565
266,1.0347202031563505
267,1.0331665517525446
268,1.0353753047556102
269,1.0339022556482118
270,1.034517752369244
271,1.0343579875859266
272,1.0335213071581015
273,1.0344276462637356
274,1.034812311145282
275,1.0354305663117114
276,1.0356455941706162
277,1.0362876805609662
278,1.033915389566521
279,1.0371011463442383
280,1.033062048352443
281,1.033360388924935
282,1.0356382215269626
283,1.0352622702573533
284,1.0347202219572906
285,1.033162995740342
286,1.0345487890426495
287,1.0342447024442953
288,1.0344270814275638
289,1.0359326809593012
290,1.033010266819189
