Time(Iteration),EpsilonGreedyLinearBanditTheta,UCBLinearBanditTheta,TSLinearBanditTheta,PHELinearBanditTheta
0,0.9900992240508646,0.9821329791503031,0.9711017858336204,0.9821329791503031
1,0.9677972044566268,0.963648334126263,0.9572429099862664,0.963648334126263
2,0.9503569778063751,0.9588752284741601,0.9337682109145377,0.9588752284741601
3,0.9444651705694506,0.9495200333464625,0.9240412722473719,0.9495200333464625
4,0.940628160529721,0.9409751417119425,0.9141253835346355,0.9409751417119425
5,0.9398275281950728,0.9297274594145917,0.9068356661239566,0.9297274594145917
6,0.91902049253695,0.9167311259854823,0.8924474230938403,0.9167311259854823
7,0.916465810414649,0.9070251898660198,0.875370589192898,0.9070251898660198
8,0.9113114236325728,0.8958911571977148,0.8384631701153088,0.8958911571977148
9,0.8845455493364763,0.8945141383776208,0.8369479899737147,0.8945141383776208
10,0.8866689771184515,0.8915961783089422,0.8246897673104359,0.8915961783089422
11,0.8873922465788204,0.8757435247550784,0.8215664638170868,0.8757435247550784
12,0.8783204607772275,0.8624526940937344,0.8127314784021049,0.8624526940937344
13,0.8808882474729047,0.8613523450943372,0.8095792878209108,0.8613523450943372
14,0.8803406038460162,0.8592705793516421,0.7703966342487072,0.8592705793516421
15,0.8661032457598274,0.8589288671916012,0.7570196276783066,0.8589288671916012
16,0.8701488931822112,0.8582614062610331,0.7509267038174972,0.8582614062610331
17,0.8721467201518435,0.8580877166259931,0.7377962180834594,0.8580877166259931
18,0.8705776617093376,0.8583590646992381,0.7395507416681861,0.8583590646992381
19,0.8572579609094072,0.8589620293675893,0.728370411473118,0.8589620293675893
20,0.8545711097060453,0.8589773086289633,0.7343981961218259,0.8589773086289633
21,0.8321526627980196,0.8532634658430085,0.7235234987141078,0.8532634658430085
22,0.8314346681431676,0.8531457533124673,0.7205679586058094,0.8531457533124673
23,0.8323404320706611,0.8531794236096697,0.7203403213609985,0.8531794236096697
24,0.8287055813351263,0.8536892378060141,0.7232375517032297,0.8536892378060141
25,0.8280606706901624,0.8535244234116869,0.7068100291955719,0.8535244234116869
26,0.8156857457993164,0.8533497618623536,0.7127538107107216,0.8533497618623536
27,0.817368066310139,0.8427629509628668,0.7054791797381216,0.8427629509628668
28,0.8164319534499128,0.8407010490249153,0.6926670828382285,0.8407010490249153
