Time(Iteration),UCBLinearBandit,TSLinearBandit
0,0.32213423283035486,0.39221532726500474
1,0.6547542494210244,0.8066082905980856
2,1.007677306511026,1.1166214830174888
3,1.3558054965007265,1.3963675665681676
4,1.7137517131667224,1.920322840393148
5,2.116703052593116,2.310996974243267
6,2.6148759256987413,2.6235150620050223
7,2.910578007029076,2.9554914743137912
8,3.3777996371379606,3.29399685738955
9,3.783170251516246,3.6850711705183143
10,4.206872514524717,3.9930606458636633
11,4.566981812046236,4.3846118901060205
12,5.062436827989931,4.732309613797832
13,5.462688156257368,5.159902603151769
14,5.773359997559156,5.628533516789899
15,6.227563608163648,6.013652822601373
16,6.600597899526397,6.507400892972001
17,6.968507456720315,6.83615644132189
18,7.35334207128147,7.371975029874984
19,7.756738707502419,7.726514000907922
20,8.152310351976203,8.062986877187472
21,8.465487434636405,8.425954735543165
22,8.87311010213138,8.683428096952172
23,9.265573169888256,9.138336210993629
24,9.775771322576684,9.36568414269445
25,9.848449672595631,9.706591539282183
26,9.90767951990549,9.92470300578989
27,9.98595461705717,10.17459622546522
28,10.083213081741366,10.485468253666713
29,10.150100181965852,10.634928458047561
30,10.229177563105685,10.878873187708319
31,10.339459494294324,11.161608609850134
32,10.47086578705779,11.368426880322435
33,10.548171307255458,11.62514990195802
34,10.701307468884742,11.858501870261886
35,10.817265528046018,12.040687577373157
36,10.955354236131594,12.239725390180283
37,11.104713576903618,12.420248315090166
38,11.248488332794999,12.584164493803417
39,11.397430461741887,12.782470656474962
40,11.5102354298319,12.879193364503333
41,11.68648431265851,13.049422666381423
42,11.748235974711658,13.27228882447939
43,11.895187212129951,13.49036550957626
44,12.016733042173849,13.614389769959601
45,12.037574722777313,13.718427548201172
46,12.193226343609163,14.00850094842034
47,12.299519397980088,14.19348162055222
48,12.33272051519034,14.329002323103415
49,12.461779008447401,14.562609777121185
50,12.517009245728593,14.839488878459568
51,12.61912640985678,15.020798477048885
52,12.705202377118631,15.303896153374257
53,12.802072935979371,15.472250384832165
54,12.896143386857432,15.662134459695972
55,13.011756654778305,15.890673841873868
56,13.098388747808063,16.076166856150316
57,13.164566321097578,16.254798874757924
58,13.250792128264555,16.43627558347696
59,13.274896203193293,16.697224170788704
60,13.30824820660366,16.823656299938307
61,13.422359324989552,17.1123581446937
62,13.429142880434284,17.32041131442797
63,13.479277835012919,17.566057116465565
64,13.576316242151222,17.841441127295433
65,13.66002666839574,17.980003904224233
66,13.708745891763545,18.182382949408407
67,13.769960095475861,18.33558810954024
68,13.869267865224455,18.51998098629415
69,13.928170269654512,18.6437516334853
70,14.0075834942433,18.8067468803766
71,14.089223858510564,18.932028359572225
72,14.18564937861438,19.032154541536105
73,14.195863918362207,19.171111269449828
74,14.264459254962787,19.371185206227192
75,14.368254291802169,19.57410505736585
76,14.422423214020299,19.804859697623147
77,14.47780718942273,19.945827925249887
78,14.47780718942273,20.245725866659598
79,14.531155239787779,20.511540175089053
80,14.591475009157012,20.680863926105875
81,14.68746282261338,20.794114655069016
82,14.75929251053887,20.98736608166058
83,14.823865488251391,21.13921096150879
84,14.835952257735396,21.28895523951605
85,14.912732487465268,21.504068143927835
86,15.014158134986014,21.65272716257299
87,15.098462181142898,21.804149210236826
88,15.22138063780917,22.087051610168704
89,15.286856220742138,22.301238741292348
90,15.3633445608482,22.457952650103028
91,15.4114792756436,22.680948321502186
92,15.45443057566454,22.73918472572399
93,15.476466054227553,22.938520566397557
94,15.481027145733202,23.16385000907765
95,15.504997198501282,23.32649102109699
96,15.516873720431898,23.481653448003335
97,15.575642557447065,23.653730894991277
98,15.595463843887012,23.84269903822612
99,15.62133897214299,23.989187322645215
100,15.663511164612242,24.08792024135747
101,15.676099010047144,24.231156764387688
102,15.68175245828932,24.381581982706653
103,15.78117100812275,24.454471625652964
104,15.789517898556966,24.57440886778075
105,15.857906166493697,24.702396172675712
106,15.874957766277197,24.807779708207462
107,15.881221293757065,24.812648490675663
108,15.962351127334017,24.993426410475802
109,16.017221893400475,25.12909318241617
110,16.043382266524144,25.296191352688197
111,16.051729156958363,25.37130888621463
112,16.08868680692879,25.45157171017002
113,16.102168321424465,25.73817308787894
114,16.12747148442464,25.845556567437818
115,16.147867911750616,26.000324932795042
116,16.158200822549222,26.104344140477302
117,16.168533733347825,26.20319115072811
118,16.17886664414643,26.288330181013265
119,16.238272018155495,26.457233245427993
120,16.254069005298454,26.630444964665656
121,16.303737477269742,26.709449028062505
122,16.312604395668824,26.858601600504947
123,16.338109533882694,26.972741568792184
124,16.380297265194237,27.026781243854543
125,16.494261219635842,27.10989304664492
126,16.53068161943683,27.184906439498626
127,16.55966032908384,27.321345778485703
128,16.579829739083447,27.42181769490861
129,16.646490866554977,27.601301283842496
130,16.701847159742048,27.767459388127037
131,16.709428724306754,27.960404292455156
132,16.729779288545913,28.079590372870182
133,16.743866325305206,28.124179805450858
134,16.75465439760884,28.284731470001617
135,16.759789021670294,28.43280302906873
136,16.834378963542157,28.521341655700912
137,16.864046796929294,28.670358306806282
138,16.931345497689087,28.829695061624413
139,16.936214280157287,28.928389984125097
140,16.94316642557984,29.058652679276303
141,16.96323132227181,29.086301166898046
142,16.981997521783406,29.195209772392683
143,16.997193636007175,29.241035564494542
144,17.032535816287464,29.271440952413087
145,17.042868727086066,29.410639098357358
146,17.069785090046487,29.492111315346072
147,17.069785090046487,29.643303875225143
148,17.069785090046487,29.761925176210344
149,17.09234902115322,29.83224309270784
150,17.103747172694543,29.874742482561356
151,17.15549442855209,29.9863471519521
152,17.157577791506437,30.095083894286937
153,17.17292695531572,30.179622202307126
154,17.17292695531572,30.285809006628465
155,17.17971051076045,30.351440852659323
156,17.242671050221453,30.55610067431855
157,17.28488872314282,30.766219164740363
158,17.306642530789127,30.85258007677017
159,17.340674150710853,30.913608681278095
160,17.375818399511868,30.9906658500003
161,17.380687181980072,31.162397807293793
162,17.441812053467572,31.276701476212317
163,17.463889705474884,31.352954515101953
164,17.475766227405497,31.44662464431301
165,17.480900851466952,31.515364101839616
166,17.54540763918866,31.565162543656232
167,17.552625626204467,31.645332692756465
168,17.562321341771572,31.718642638294295
169,17.56440470472592,31.84360145581859
170,17.578491741485212,31.920358530230068
171,17.60651864115959,32.02728212340855
172,17.60651864115959,32.101809934247115
173,17.61107973266524,32.247409469430245
