Time(Iteration),UCBMultiArmedBandit,TSMultiArmedBandit
0,0.4008509103335881,0.47031133612121295
1,0.7836431114656238,0.9692370433689408
2,1.152985986637627,1.4220729209590948
3,1.5866076433349932,1.896718764747455
4,1.9647477742011794,2.262644519050067
5,2.3834756762428624,2.5710935639267656
6,2.9357323005562717,2.9164502608820877
7,3.4284465248993454,3.3423228123763793
8,3.7678060450888955,3.750159724037199
9,4.207828736085141,4.157987014045239
10,4.569463585827232,4.6401644023486766
11,4.967472865412517,5.112340118097346
12,5.3141890205527975,5.564052122497983
13,5.708428745871234,6.084715528884541
14,6.0660845392613805,6.515638469517069
15,6.5105283879338245,6.95317478657478
16,6.986893476471155,7.383023363742123
17,7.4349577820528285,7.737811796138327
18,7.812923109707517,8.134238048249815
19,8.194285559461232,8.472010506633158
20,8.71899618217087,8.835120048606196
21,9.132004757371206,9.169674263566014
22,9.490932417535646,9.525577748009542
23,9.98346072238091,10.067822620266487
24,10.364634330295951,10.5390471171042
25,10.40559043764819,11.02969520266719
26,10.551867885275131,11.406633038285646
27,10.71810916855005,11.857301072341512
28,10.931115204398543,12.169369298769881
29,11.193258934360848,12.540836890128109
30,11.481890124151326,12.957599035153118
31,11.722287868380466,13.438987432207108
32,12.051803091314117,13.855076253204652
33,12.400388990194665,14.274258411992628
34,12.766623030652497,14.634529969967826
35,13.191324464013642,15.075073060050713
36,13.604603388220934,15.495479802588733
37,13.98072878575876,15.83326116720878
38,14.395452609909631,16.19894935012296
39,14.871184206471423,16.594840343505638
40,15.30090205171762,17.028383387915273
41,15.815337781846642,17.503155051867314
42,16.33716213241495,17.981402901560095
43,16.836482632044945,18.483663005283205
44,17.43272501842217,18.929445289512138
45,18.051202389432994,19.57982027269248
46,18.592274910351133,20.056617092670393
47,19.13329240968592,20.404958258812854
48,19.629452027477548,20.814128464352827
49,19.995849779398082,21.203492306361174
50,20.39644379273881,21.596045367020164
51,20.7722327304263,22.07624912545738
52,20.942555575181338,22.41562383539489
53,21.163454813831645,22.84220382975293
54,21.358806495381494,23.261402140880993
55,21.691248249461957,23.74041284267778
56,21.94356086921238,24.132856148152225
57,22.18030861224923,24.52056389648122
58,22.41039671240915,24.92740447481358
59,22.715931707246614,25.279130374291718
60,23.0028666684912,25.692944146285935
61,23.34498549621528,26.124530838423834
62,23.65971338369533,26.70900357618617
63,24.064801161670147,27.079297478978987
64,24.452193643613874,27.560669969559086
65,24.878625169159548,28.118818149202532
66,25.164155962069824,28.64528175465321
67,25.668707240721197,29.067482074474118
68,26.039346288827243,29.422713981276928
69,26.447762741214877,29.891743882831996
70,26.794442756364464,30.389539091810644
71,27.205949590359022,30.8363745053177
72,27.644516441431232,31.255778593672385
73,27.786542810498304,31.784916527614165
74,28.271257280906156,32.27029757293115
75,28.609410214936855,32.777280342478726
76,28.958040050493338,33.28338787758351
77,29.35651898194731,33.701147659435314
78,29.56104645302197,34.2066317083974
79,29.89491854100786,34.609694668213216
80,30.288975416095393,35.054433870132115
81,30.63295530841923,35.57075075044678
82,31.089013011749728,36.060259114401205
83,31.485280379285136,36.56763857028819
84,31.879162451881918,37.12633560129015
85,32.13692646802741,37.66367108684451
86,32.39434222087799,38.02762115123795
87,32.75655470502285,38.425103746288656
88,33.04483737329255,38.894904140142934
89,33.43563514428602,39.394840731278215
90,33.84459319429722,39.88860673570211
91,34.16770241595475,40.35083572976477
92,34.50694866607523,40.81989563348486
93,34.83205403012481,41.3210168946697
94,35.29161258453789,41.72125431161399
95,35.66170888049525,42.10853812883323
96,36.044653991001354,42.5881151080169
97,36.408710672256845,43.04539441318395
98,36.73790504806403,43.59046396662285
99,36.94846056899895,43.978140552129524
100,37.29099950299117,44.45576552222418
101,37.6454958992103,44.911219427212856
102,37.93789220036851,45.42523912410513
103,38.248211495093436,45.982336599675826
104,38.725745649982386,46.431262055640346
105,39.00163296977561,46.825161240082465
106,39.37358542036239,47.16283873607033
107,39.71778025334284,47.65955966299077
108,40.03482374317749,48.207875487493666
109,40.35426696011266,48.64486335293522
110,40.79558599187956,49.041781557875304
