Time(Iteration),UCBLinearBanditTheta,TSLinearBanditTheta,PHELinearBanditTheta
0,0.9059163485952502,0.9004340008143602,0.9196859211447312
1,0.8612218283566412,0.8469057231721232,0.8684816101764025
2,0.7934065213336683,0.8030564732331487,0.798630845800169
3,0.7551049513851782,0.7380820293416166,0.7638525551998187
4,0.6568973803021376,0.7243436527123996,0.6922213184353584
5,0.6274708185323083,0.661278089124442,0.6083588256020953
6,0.6029412283099866,0.6119199155984429,0.5565437410896721
7,0.575012921058286,0.6164803022295463,0.5374603083164206
8,0.5713458848874027,0.6157606734761291,0.49297018531138737
9,0.5465181844745661,0.600975088530556,0.4804818556913057
10,0.5381862037239594,0.5858965292218665,0.47018729874762333
11,0.5339794923700734,0.5730697906343118,0.46529667387628165
12,0.5314406338468352,0.5148547234135443,0.4605871496789728
13,0.49334231535238215,0.5242425215103179,0.4492323503847525
14,0.4847831184970925,0.539165712528267,0.4444709206004063
15,0.4345079695628062,0.5345640918783773,0.4427751764989476
16,0.4437520696808628,0.5336424011769922,0.4344898962220558
17,0.4424711723497995,0.5349232965246007,0.4349175565990234
18,0.4424991567122672,0.5457784414549598,0.4360118320973811
19,0.4341654893279471,0.5383171494542822,0.4241482417016374
20,0.4338626669420149,0.5341682305088717,0.42442955088670525
21,0.4369564615335384,0.5302953154022131,0.42153762536714084
22,0.4374650158455989,0.5268388286358069,0.4152240522404133
23,0.43556495435709364,0.5268197556180387,0.4071505293601917
24,0.4357812156169459,0.5293357685377749,0.40456766510588216
25,0.43411143545592407,0.5336711716219436,0.4059090841978142
26,0.4335496121067942,0.5261621049879233,0.40515076024476393
27,0.43320310365927484,0.5268833029475182,0.403731497067627
28,0.4337640582322817,0.5280339800251749,0.4057851734926127
29,0.4325062623949901,0.5218212400614656,0.4043704596863324
30,0.43702948473640146,0.5179458615195546,0.4025029228077536
31,0.43654890207125235,0.5217570373402518,0.3951787589656776
32,0.4359409256003864,0.5292513624798884,0.3938705005088655
33,0.4352324787858123,0.5276993439697207,0.3890465073697076
34,0.43529177620815684,0.5303145392290413,0.385762008603256
35,0.4355418087656287,0.524466747210024,0.3868844262813703
36,0.4359983576780603,0.5318625436686903,0.38371481312200784
37,0.43535516995656093,0.5282341883479696,0.38761849043535845
38,0.43564163231903735,0.528758717964607,0.3931229954881549
39,0.4356856836738522,0.5288623679276548,0.39246328539408026
40,0.4403850737567754,0.5292103827639585,0.39651533861943955
41,0.4402686525781008,0.5306940983340418,0.3983691903141561
42,0.44130258740978634,0.535277235313612,0.3991935253384714
43,0.4375783994266046,0.5349452241087105,0.3966175879568292
44,0.4378774068515157,0.5385977078384199,0.3996193094462078
45,0.43921089193588286,0.5404733021880062,0.39803902490160536
46,0.4397043561193909,0.539001071386428,0.3975400227643068
47,0.4400460966682007,0.5395066437756199,0.39941111547647
48,0.43831940759193044,0.535203461252069,0.4035440382434731
49,0.4372827926179186,0.5351411937491032,0.3983942411815194
50,0.43643841703864494,0.5376115089830458,0.39619647753361875
51,0.43674437555240386,0.5380229497676029,0.39675916104745185
52,0.43644234137042115,0.538408629206049,0.3962036637422711
53,0.43622307962696966,0.5370918364891797,0.39393144881123066
54,0.4358795685512667,0.5376430559353965,0.3937039817000677
55,0.436558522471212,0.538577888840184,0.39289536512673023
56,0.4364489237868554,0.5380041249868004,0.3929792056027637
57,0.43634606161205064,0.5398292804382427,0.39432407331717184
58,0.43616657193879105,0.541475243413857,0.39700376435723034
59,0.4365846682418015,0.5399466422480491,0.39592128503611335
60,0.4365038083377539,0.5390731591128621,0.40081142724603147
61,0.4365077234861098,0.5407829574083982,0.401694729079363
62,0.4363981659092039,0.5396877446832993,0.4027526198554209
63,0.4365661221043758,0.53812938953097,0.40283812768711647
64,0.43799865701595825,0.5292680378102781,0.40365617488169186
65,0.440271655827698,0.5287910953275782,0.40529765838749865
66,0.4402987000462324,0.5318310691946702,0.40645200021556505
67,0.44025167386659503,0.5346267261391121,0.40286929729519033
68,0.44013816844247533,0.5359400860892041,0.4029906043750483
69,0.43974211824807774,0.5344506409070474,0.40130371844013457
70,0.43984891843487545,0.5345348539254271,0.39817345709049695
71,0.43778047228948136,0.5335085769870274,0.3974981070692605
72,0.43790239446280743,0.5335127034391143,0.3974564780682429
73,0.43809092046876896,0.5333890558288379,0.39781489538340076
74,0.4378517948446114,0.5321423266640742,0.3958956010196256
75,0.4378474175381871,0.5326858792982447,0.3968963751716884
76,0.4378714074461524,0.5313754188602224,0.39923466960382065
77,0.4376723347222947,0.5313176711629495,0.39940398521333764
78,0.4375381355162684,0.5303027006417701,0.40264733354480065
79,0.4375930114019176,0.5298912925568373,0.40236811081794477
80,0.43744951430067214,0.5295661398240292,0.4024028724414427
81,0.43748007374404596,0.5473615408374812,0.40204414516128956
82,0.4376334450847166,0.5478524853453212,0.4035246912502923
83,0.4369872679048986,0.5482732710941954,0.40298176636885524
84,0.4366352789298027,0.5478755456822477,0.40234387608880195
85,0.4367675306704747,0.5489140332260174,0.40320404228525264
86,0.4369461825890754,0.54900389651493,0.4037296728640534
87,0.43691642803297726,0.5498903998832816,0.40560982601900397
88,0.4370707723819269,0.5500815609822319,0.4051300675170049
89,0.4369522443290797,0.5498842990448758,0.404427321192956
90,0.43708293498994716,0.550117937888223,0.40437714719156903
91,0.4371309848393688,0.549419617477262,0.4055030616293025
92,0.437087290028144,0.5485638147389184,0.4053761267738863
93,0.43707241287417975,0.5485040504842666,0.40539154167950037
94,0.43688734720708267,0.5497674908982816,0.4057662673553727
95,0.43570351124091145,0.5512204769752644,0.4009657825225899
96,0.43596425296104463,0.5507226154744862,0.401416665841957
97,0.435887020202901,0.5565617955958753,0.40157887218867894
98,0.4361659455736119,0.5575829328663128,0.40125702793052864
99,0.4363006567318883,0.558503799531817,0.4002715883820396
100,0.4363458800123496,0.5562890866056815,0.40036767752333047
101,0.43614945767152824,0.5561508750805189,0.4006190014246041
102,0.4361967573692045,0.556790359857499,0.40011740045579114
103,0.4362502828011844,0.5572461443788973,0.4005558803754532
104,0.43624191191602063,0.5576989630819769,0.3998630958370986
105,0.4363283817825031,0.5574733033040182,0.39899320819427453
106,0.4363195156365446,0.5582997870195126,0.3999269668529499
107,0.4351231016811263,0.5589692273704403,0.39905977143184723
108,0.4355973514552004,0.5591287183739249,0.3992788331849456
109,0.43553400128681075,0.5584307013036162,0.39897271287385794
110,0.4355705465085317,0.5582716496204088,0.3996955595188712
111,0.43543564315062283,0.556288980071699,0.39945314121621145
112,0.43553622414167614,0.5567106446363488,0.3996502956612972
113,0.43542530514540817,0.5560955153610668,0.39923320278248164
114,0.4355706830647268,0.5569084231489607,0.4033323774639374
115,0.4356492715246147,0.5568602738058938,0.40297734594540524
116,0.4357087069300219,0.5564745416456184,0.40334645022647375
117,0.43584312174132017,0.5567909501587227,0.4036529388320358
118,0.4358479380532908,0.5570333568198982,0.40429057145550384
119,0.43578860578276546,0.5570520094615884,0.40404247129719206
120,0.4358201122404549,0.5484795690907122,0.4059394532106596
121,0.43580292126256026,0.548258528471411,0.40594080703620133
122,0.4359878575329447,0.548221627907156,0.40600736777047464
123,0.43643370594724457,0.5620525149055589,0.40619927088912366
124,0.43635471788999747,0.5622527280188401,0.4061385779467006
125,0.43628621117519073,0.5624947055151119,0.40592057641908375
126,0.4362781584152907,0.5625664971966227,0.4056077093974366
127,0.43611330796990916,0.5626414931344221,0.40931857351738243
128,0.4361309077994549,0.5638840333058168,0.4092519141326287
129,0.43606676240815434,0.5644792299705099,0.4088812156222533
130,0.4360299644145691,0.5647563384518672,0.4087065718308174
131,0.43600367899354386,0.5645357438601175,0.4100809413875612
