Time(Iteration),PHEMultiArmedBandit
0,0.4767007568109779
1,0.8982559041473944
2,1.289073219326717
3,1.6884242710238766
4,2.1394086880413608
5,2.515355113181814
6,2.888965636418379
7,3.4097424437230295
8,3.7196666768657587
9,4.100428924987992
10,4.403287595197652
11,4.813996714579377
12,5.262259397631994
13,5.719323131519273
14,6.0298591377820205
15,6.511479194826379
16,6.849706717521743
17,7.222047650998073
18,7.636694120547776
19,8.104676231768906
20,8.55411680085144
21,8.916968456940198
22,9.425085925769093
23,9.823144691031397
24,10.275913802539145
25,10.712386398578492
26,11.205802306050101
27,11.75608341798802
28,12.265766031151118
29,12.73560338131427
30,13.23375516168386
31,13.737896802679387
32,14.232142446836784
33,14.768959947345332
34,15.316247735223286
35,15.876669933244438
36,16.408461905433033
37,16.86305554888017
38,17.42764586557007
39,17.87637346704714
40,18.44627080720429
41,18.925238838583496
42,19.443707455032644
43,19.94755271419925
44,20.431546561306117
45,20.936753605413617
46,21.367683751754065
47,21.909320054659407
48,22.384285245823484
49,22.87474851933418
50,23.352631429994346
51,23.923896267761716
52,24.45733964252152
53,25.032978265252535
54,25.51285067286232
55,26.0256569317451
56,26.503716692531032
57,27.034788007852455
58,27.575584449303857
59,28.016385975509614
60,28.49205190176563
61,28.966515643461218
62,29.489126933647594
63,29.977735111006222
64,30.354238727559128
65,30.89421308693874
66,31.445796843581757
67,31.965483326519177
68,32.506746197599526
69,32.97940677196667
70,33.46914685309464
71,33.89882849948236
72,34.38569522565162
73,34.91871877061226
74,35.4210991683788
75,35.91234116615887
76,36.46146999864041
77,36.945266613328215
78,37.43121439056425
79,37.932460144478284
80,38.47579919809081
81,38.96685980981206
82,39.58594792964794
83,40.109446437103806
84,40.61901436720197
85,41.0597888881057
86,41.53172220765474
87,42.01028082997297
88,42.5611075298631
89,43.09950559940207
90,43.604706033691954
91,44.166246764353765
92,44.61549180800127
93,45.067922970719415
94,45.608708350000235
95,46.12188459019001
96,46.6217769762411
97,47.08366965848075
98,47.560640749598114
99,47.98838206628268
100,48.43556303907466
101,48.949903404096844
102,49.52135211255722
103,50.00716921848859
104,50.50182877998444
105,50.94484460040785
106,51.50333749514357
107,51.940161190974244
108,52.40746616495435
109,52.94607168034183
110,53.45969452860462
111,53.91355316364079
112,54.484306484343435
113,54.99738112019621
114,55.54566524236611
115,56.023215947369906
116,56.44826115729323
117,56.991689674344535
118,57.49342566630047
119,58.02458252104363
120,58.618930864697155
121,59.095447779140976
122,59.64172961072843
123,60.08499801704983
124,60.58267515927987
125,61.06902747211607
126,61.60832877054289
127,62.16257214244003
128,62.70877798611305
129,63.29341448368613
130,63.77228243309946
131,64.2884458354911
132,64.6984882844561
133,65.31539917681187
134,65.83151798737374
135,66.30536382033618
136,66.75199336043032
137,67.3780195889687
138,67.81894735979273
139,68.32042319396457
140,68.81639789191209
141,69.31803958733568
142,69.8578216348048
143,70.39517025023878
144,70.8264178141251
145,71.30797869064153
146,71.8270848271407
147,72.32305586346857
148,72.8569730590942
149,73.31818429470779
150,73.77028752534177
