Time(Iteration),TSLinearBanditTheta,zyt_TSLinearBanditTheta
0,0.9753803591987703,0.9751809138413625
1,0.9661146208688631,0.9647677669322595
2,0.9255494643673338,0.951214608554084
3,0.904923028733457,0.9360331868882696
4,0.8990379282853457,0.9001668562439328
5,0.8660635884932283,0.8831705266636396
6,0.8467296631603883,0.8774295971410149
7,0.8388412034266635,0.871670189935194
8,0.8004179520605954,0.8472064092661411
9,0.7641254279336317,0.8347869125374627
10,0.7608127018516185,0.8090490131042676
11,0.7561775035672154,0.8052247344413365
12,0.7338954662333207,0.7703697592421378
13,0.7273065819224194,0.7604865737436357
14,0.7102218393616833,0.7397256890904471
15,0.6762428126887168,0.7198572296915579
16,0.659131412791466,0.6813697291475423
17,0.6330198702090788,0.6573314464151379
18,0.5941198751033491,0.6208787565179658
19,0.5711046776418031,0.5822195114785961
20,0.5597891056362156,0.5622772356894135
21,0.5372902871793686,0.5422922730698965
22,0.5093856757836362,0.5287153534902614
23,0.50283782441902,0.5289411239645776
24,0.4660247728513105,0.49923095432550124
25,0.4600392738889084,0.4919174759445265
26,0.4568812688888021,0.4950899053296644
27,0.46036242110697384,0.4940771796182619
28,0.46025165834017373,0.49719097525711453
29,0.45595374199648003,0.49171442161932344
30,0.45608572666976077,0.49171320350126224
31,0.4569905946645306,0.4755173654130351
32,0.45635754606514495,0.4748038752918542
33,0.45586684148862505,0.47498164227353745
34,0.45583419395056285,0.47500818061282535
35,0.45596546095891244,0.47507955978459415
36,0.45259171628693073,0.47465731356592544
37,0.45288416285755584,0.47491093836461673
38,0.4528920282139953,0.4704387772360136
39,0.45270530810306014,0.4704626178257283
40,0.452671126169281,0.47041759382874765
41,0.4525421779118872,0.47026951640443715
42,0.4523676291380512,0.46971221338878666
43,0.45227627311315927,0.4695499121653621
44,0.4527370237663367,0.4695348074683114
45,0.4525349566618876,0.4694543994084547
46,0.4523982893063863,0.46945438345632057
47,0.45253149367157713,0.4693733259752516
48,0.45293789242019217,0.46925834025378865
49,0.4526221607606088,0.4692825702582442
50,0.45213364917220755,0.46930825753868605
51,0.4522214912587651,0.4693635413400542
52,0.45228976772360346,0.46939968710413293
53,0.45234738381001166,0.4694007498770391
54,0.45248505412038,0.4694340942022717
55,0.4524625114482526,0.4692616459660126
56,0.45236458241069544,0.46923281850201637
57,0.4522359651795461,0.4691626242977299
58,0.45217926222578253,0.46910831195291547
59,0.4521982314020338,0.46912245687984405
60,0.45208772322357216,0.4690868659463948
61,0.4522000301447652,0.4691808515997439
62,0.4530949328661892,0.46916271554609035
63,0.45307316203755155,0.46916893464045745
64,0.4531070146501938,0.469161390148457
65,0.4530548556478048,0.46915912696784
66,0.4529824012418426,0.46914211637335645
67,0.4529546302193076,0.46911971786899687
68,0.4529525124762796,0.4691372813107087
69,0.45304386693809373,0.46918870903660836
70,0.45294566000866,0.46909662698997645
71,0.4528609557120199,0.46950152784166255
72,0.4528443000160024,0.4694664070700714
73,0.45312715464192355,0.46882932047134984
74,0.45343578213435676,0.46881929350607976
75,0.45321100981591533,0.46883448619110474
76,0.4532102085176445,0.4688345696677466
77,0.45312895650230833,0.4688235362972494
78,0.4529834758474215,0.46884187047516585
79,0.45300967264793535,0.46884633330654457
80,0.4529776568445009,0.4688339322918815
81,0.452937551009364,0.4688225618041925
82,0.4529036458276834,0.46879794615297143
83,0.4529638500883153,0.46881967846521155
84,0.4529290103081647,0.468798832266671
85,0.4529549534993496,0.4688244435321686
86,0.45310028616244413,0.4687837196161597
87,0.45300052693846293,0.46876438177258334
88,0.4529890150386805,0.4687565452236232
89,0.45293324009046315,0.4687395260547592
90,0.452912283402845,0.4686732168614762
91,0.4528640397382954,0.4686413570568225
92,0.45286028288419605,0.46864214090644546
93,0.4520462502445505,0.4686344338151516
94,0.45204489874667164,0.46863832473832445
95,0.4520209141609987,0.46862209672888006
96,0.4519810400646648,0.46861060143833944
97,0.4519291848902219,0.468593657064281
98,0.45190918883547937,0.4685885414401956
99,0.45195567471255715,0.4686025348346382
100,0.451929788515027,0.46859090831559014
101,0.45189943216058764,0.46857446675984116
102,0.4519112737002239,0.4685847322396436
103,0.45189479739158606,0.46857240439880227
104,0.45189910438335323,0.4685800819471755
105,0.44926169940301275,0.4685753625893119
106,0.44927392543772937,0.4685904943216408
107,0.44928032892554925,0.4686008879089953
108,0.449249952915549,0.46858347139606493
109,0.4492474880181879,0.4685840146030502
110,0.44923908681217267,0.4685804946229653
111,0.4492395996881732,0.4685826741947091
112,0.4492643012299123,0.46862194198465773
113,0.44925551702473293,0.4686671554981934
114,0.4492355162979241,0.4686049356598593
115,0.4492364657784297,0.46845338609325343
116,0.4492479594625499,0.4684563654040991
117,0.4492384791471422,0.4684526832756347
118,0.4488898704680837,0.46845219306015784
119,0.44891485429027467,0.46847016128482444
120,0.44890325650718443,0.468467324505702
121,0.4488670380250734,0.46845676101798145
122,0.44885341996008793,0.4683102665009625
123,0.44886245936566704,0.46831553947388826
124,0.44885086591149614,0.4683151136731561
125,0.44793716213698953,0.4683136434348314
126,0.44793803247035235,0.4675541408857128
127,0.4480869189908304,0.4675538448245321
128,0.44807774487739616,0.467540116909802
129,0.4481186923019915,0.4675374763168696
130,0.4480983791541072,0.4675345183018337
131,0.4481092417478331,0.46754406198879384
132,0.44814202292688343,0.4675770851821732
133,0.4481267546558498,0.4675746138952698
134,0.4481223729022668,0.46757166025456
135,0.44810790995263916,0.46757142189395234
136,0.44810037415200166,0.467567235325461
137,0.4481283291434955,0.46756895883049576
138,0.4481138819939002,0.4675600076728982
139,0.4481862309221059,0.4676460649454546
140,0.44819025156641584,0.46764101075459114
141,0.4481225871275306,0.4675692076411554
142,0.44811174668229004,0.46756586893002805
143,0.4481773884386578,0.467567177857945
144,0.44818212458996565,0.4675710751507595
145,0.4481837579365992,0.46757649359054093
146,0.4481713536690017,0.4675717605619686
147,0.44815850676583774,0.4675638880409556
148,0.44817419442837664,0.46759081758871124
149,0.4481244541092927,0.46758261790206984
150,0.4481391425720645,0.46759141834006474
151,0.44813035838761694,0.46759236677191096
152,0.4481336619725422,0.4675903786545681
153,0.4480943173578448,0.46759181764018054
154,0.44813123114329195,0.4675958675725355
155,0.44801630121036967,0.46759191934276617
156,0.4479942938143676,0.4675861563035877
157,0.4479917838662681,0.46758519508453056
158,0.44797468084125064,0.4675860355881266
159,0.447959884554381,0.46758634302670143
160,0.4479688904371654,0.46758704531413875
161,0.4479658022469817,0.4675889886012836
162,0.44797365366665814,0.4675886777978498
163,0.44797316948029026,0.467584492904302
164,0.4479732240529512,0.46758446574261175
165,0.4479653946310746,0.4675801158377051
166,0.4479530079188998,0.4675730239890702
167,0.44794864873387086,0.46757450713692883
168,0.44795214687195567,0.467576005088233
169,0.44796559751656373,0.46767917105267987
170,0.44796604161711767,0.46769039944696705
171,0.4479682438645686,0.46769922483852966
172,0.44796570194689195,0.4676846514003872
173,0.44795418070839005,0.4675923267172202
174,0.447953996687823,0.4675972112645715
175,0.4479554515665388,0.4675948667445601
176,0.4479528105240852,0.4675879083766069
