Time(Iteration),UCBMultiArmedBandit,TSMultiArmedBandit,PHEMultiArmedBandit
0,0.3639029929789146,0.2743671820865396,0.3639029929789146
1,0.6504416643662487,0.5034892788752228,0.6504416643662487
2,0.9908944847494862,0.817306274552504,0.9908944847494862
3,1.3125351588863126,1.0976574226952451,1.3125351588863126
4,1.6291938090962144,1.4623026663124692,1.6291938090962144
5,1.9225578461724442,1.789330984594771,1.9225578461724442
6,2.2335291646136795,2.1190100854478615,2.2335291646136795
7,2.4470047012356,2.4543487306243166,2.4470047012356
8,2.7377427945119224,2.7705511667570146,2.7377427945119224
9,3.023378152346262,3.0483372992414135,3.023378152346262
10,3.3691680333942218,3.3255005873761783,3.3691680333942218
11,3.738680344608279,3.6544145403363535,3.738680344608279
12,4.090483756200997,3.9240551990886963,4.090483756200997
13,4.4213472372907425,4.243549714569326,4.4213472372907425
14,4.768099195315366,4.553877374880476,4.768099195315366
15,5.096065693977539,4.888344918788966,5.096065693977539
16,5.372997708421259,5.23278983692323,5.372997708421259
17,5.7725055413216975,5.604676097140294,5.7725055413216975
18,6.124488752671525,5.9239356782665515,6.124488752671525
19,6.428149047480941,6.212850999212917,6.428149047480941
20,6.740993721607848,6.461785718642264,6.740993721607848
21,7.08919975747619,6.786197423815006,7.08919975747619
22,7.429790842596995,7.038071966412929,7.429790842596995
23,7.773776403534922,7.386797283002684,7.773776403534922
24,8.085386319273507,7.687738456225195,8.085386319273507
25,8.415759153123847,7.98543165399964,8.415759153123847
26,8.719973132515014,8.355121405386523,8.719973132515014
27,8.99621512923212,8.643342715515816,8.99621512923212
28,9.315416779760273,8.960419727948183,9.315416779760273
29,9.650391276124093,9.339218644136007,9.650391276124093
30,9.963306282659847,9.696634639713281,9.963306282659847
31,10.278096750849494,10.033046935381048,10.278096750849494
32,10.639295489091094,10.330808265054149,10.639295489091094
33,10.907025550890625,10.645404987767098,10.907025550890625
34,11.240467942923932,10.994950172279022,11.240467942923932
35,11.486355042411088,11.32656625898974,11.486355042411088
36,11.847681563914586,11.681513416001875,11.847681563914586
37,12.129065592309143,12.00895225824472,12.129065592309143
38,12.503693416660253,12.358671272201331,12.503693416660253
39,12.80908263595984,12.671193559650272,12.80908263595984
40,13.071346325551271,13.03468177711666,13.071346325551271
41,13.401501810654471,13.365759861171341,13.401501810654471
42,13.697884912394462,13.658054937238774,13.697884912394462
43,13.967290828607563,13.985426330749755,13.967290828607563
44,14.261377835631844,14.34887777405354,14.261377835631844
45,14.592074246500772,14.677948759859788,14.592074246500772
46,14.932925584148403,14.96175562363496,14.932925584148403
47,15.222705484957492,15.249232827610328,15.222705484957492
48,15.536288404445449,15.553850744534978,15.536288404445449
49,15.90142378518171,15.801037062268213,15.90142378518171
50,16.209308927650603,16.089546367293927,16.209308927650603
51,16.505094332683935,16.38120297921928,16.505094332683935
52,16.834848775444136,16.590135622747574,16.834848775444136
53,17.13483556524431,16.80290292118486,17.13483556524431
54,17.445387133285763,17.027428500673498,17.445387133285763
55,17.535867012055462,17.214226193254916,17.60069159143014
56,17.600567268431032,17.33577386056421,17.72568985993332
57,17.67911704966615,17.552488815111104,17.896548461876442
58,17.80103561718301,17.764277370575467,18.05045568247478
59,17.88857016042202,17.837387443390845,18.161031947980472
60,18.020658410589938,17.90040373706335,18.361063612686976
61,18.119773576790625,17.986169153783145,18.520457044919773
62,18.297865624586397,18.030478687169367,18.702013228003132
63,18.408606729796997,18.06157260980295,18.82913606258763
64,18.524821963256624,18.09051238260276,19.050378513511216
65,18.61194205118004,18.130684788291095,19.208802676296376
66,18.732472107127897,18.203944063667613,19.412145974900916
67,18.798418864995956,18.25229194756694,19.640384735025656
68,18.988918140567527,18.279513573235093,19.88631096764156
69,19.14237662411358,18.292094408079492,20.053680273113336
70,19.286522837637907,18.35350956127404,20.292718940565
71,19.340297265343423,18.385332996096153,20.516502472033675
72,19.44314947743007,18.396172726532747,20.702051387777892
73,19.546598253455223,18.418803530955064,20.959461553424696
74,19.710135540216328,18.423871787543938,21.201831796403365
75,19.816639863067355,18.43873050495025,21.355787800651107
76,19.96740498575983,18.488393424983865,21.576922143325643
77,20.06522041426782,18.5149823828281,21.81665002638007
78,20.1556516688648,18.5258221132647,22.02392163731473
79,20.247624873260953,18.544354556927168,22.272662717867995
80,20.400156743103093,18.562873839506317,22.508786705251552
81,20.557586060351845,18.57738729619907,22.74024621525712
82,20.6520280709532,18.600794004932517,23.012508807024453
83,20.733538879669364,18.676939425287234,23.253932915702606
84,20.90717433701429,18.714301685388453,23.50371999541884
85,21.04951944158924,18.719369941977327,23.807191206532924
86,21.078576396171435,18.730209672413924,24.059019553496988
87,21.15600077862758,18.76159095594509,24.315041616032158
88,21.23694071420337,18.772430686381686,24.568794061908882
89,21.305265142679932,18.78327041681828,24.757074060533405
