Time(Iteration),UCBMultiArmedBandit,TSMultiArmedBandit,PHEMultiArmedBandit
0,0.420006797160151,0.4803247106127303,0.420006797160151
1,0.8930779218880109,1.0852356614571341,0.8930779218880109
2,1.2720414729142802,1.4586809275948043,1.2720414729142802
3,1.7308288191109913,1.9068560024248236,1.7308288191109913
4,2.3136165755410745,2.1473829678696488,2.3136165755410745
5,2.3155732886874083,2.2669113346961676,2.4696966415537327
6,2.326826052219425,2.3147368797441272,2.603799337683755
7,2.35019480059535,2.3434561888318326,3.0378124649103686
8,2.3862102774356946,2.482061163385005,3.2731180993124647
9,2.401483097573023,2.482061163385005,3.3735094223848683
10,2.4354386564530257,2.486328348972661,3.613587366040863
11,2.466092392101972,2.545376983682107,3.6897922136707004
12,2.468049105248306,2.559792536837126,3.933525699935857
13,2.47000581839464,2.574208089992145,4.062038457377798
14,2.471962531540974,2.574208089992145,4.287443353457581
15,2.473919244687308,2.574208089992145,4.427738519215966
16,2.475875957833642,2.589580307223721,4.610133311159666
17,2.477832670979976,2.589580307223721,5.070121200869115
18,2.521169099965278,2.6039958603787396,5.213002159337966
19,2.5516026663889577,2.618411413533759,5.349481549096295
20,2.5820362328126376,2.618411413533759,5.566285885355481
21,2.5839929459589714,2.618411413533759,5.617077272236727
22,2.5859496591053057,2.618411413533759,5.683134881664406
23,2.6175071225305873,2.618411413533759,5.740661790828589
24,2.6194638356769215,2.618411413533759,5.964127184539743
25,2.6347366558142498,2.618411413533759,5.994062686814436
26,2.6366933689605836,2.618411413533759,6.062901015221927
27,2.638650082106918,2.618411413533759,6.20165077283451
28,2.638650082106918,2.618411413533759,6.289056441554
29,2.6562333746855677,2.618411413533759,6.516971012537503
30,2.6562333746855677,2.618411413533759,6.740625315555218
31,2.658190087831902,2.618411413533759,6.882540686084812
32,2.688843823480848,2.618411413533759,7.048735954272756
33,2.690800536627182,2.618411413533759,7.163493131634039
34,2.692757249773516,2.618411413533759,7.243314455916571
35,2.6947139629198498,2.618411413533759,7.451896078509729
36,2.7277474308978458,2.642789329101939,7.506604957781624
37,2.72970414404418,2.642789329101939,7.584852446903973
38,2.731660857190514,2.642789329101939,7.771841381595394
39,2.7336175703368477,2.6572048822569583,7.796219297163574
40,2.7507350297695337,2.6572048822569583,7.871217337136544
41,2.767852489202219,2.6572048822569583,7.92679370260349
42,2.7831253093395474,2.6572048822569583,7.939156816429744
43,2.7850820224858817,2.6572048822569583,8.004159750534598
44,2.7870387356322155,2.6572048822569583,8.152211668287405
45,2.7889954487785493,2.6572048822569583,8.22968958457943
46,2.8248916497649867,2.6572048822569583,8.314086837143673
47,2.8268483629113206,2.6572048822569583,8.412255789173598
48,2.853182991625835,2.671620435411977,8.508724117725391
49,2.855139704772169,2.671620435411977,8.677132123000588
50,2.8570964179185028,2.675887620999633,8.71011861767595
51,2.859053131064837,2.675887620999633,8.753881347532559
52,2.861009844211171,2.675887620999633,8.777497224890832
53,2.877382110512524,2.675887620999633,8.858513998148466
54,2.879338823658858,2.675887620999633,8.920533165876442
55,2.879338823658858,2.675887620999633,8.937862096254353
56,2.879338823658858,2.675887620999633,8.969161036301646
57,2.879338823658858,2.675887620999633,9.048624676365561
58,2.879338823658858,2.675887620999633,9.238408798282585
59,2.879338823658858,2.675887620999633,9.278503572254852
60,2.879338823658858,2.675887620999633,9.295386959147127
61,2.881295536805192,2.675887620999633,9.306639722679144
62,2.9076301655197065,2.675887620999633,9.451130535886813
63,2.9095868786660404,2.675887620999633,9.48676121498701
64,2.911543591812374,2.675887620999633,9.590482828114272
65,2.911543591812374,2.675887620999633,9.756852414576679
66,2.911543591812374,2.675887620999633,9.852120164022656
67,2.911543591812374,2.675887620999633,9.891937404205361
68,2.9135003049587085,2.675887620999633,9.960282089300492
69,2.9135003049587085,2.675887620999633,10.038902757748671
70,2.9135003049587085,2.675887620999633,10.071392434412932
71,2.9135003049587085,2.675887620999633,10.176048760181667
72,2.9135003049587085,2.675887620999633,10.249812621445752
73,2.9135003049587085,2.675887620999633,10.348461192597703
74,2.9135003049587085,2.675887620999633,10.363981141717378
75,2.9135003049587085,2.675887620999633,10.47068089914852
76,2.9135003049587085,2.675887620999633,10.555600810149087
77,2.921596233197305,2.675887620999633,10.654050323177177
78,2.921596233197305,2.675887620999633,10.67751846864735
79,2.921596233197305,2.675887620999633,10.73581624142891
80,2.921596233197305,2.675887620999633,10.781630723364207
81,2.921596233197305,2.675887620999633,10.819327401881754
82,2.921596233197305,2.675887620999633,10.851583006005603
83,2.921596233197305,2.675887620999633,10.877801975558219
84,2.921596233197305,2.675887620999633,10.938032010648536
85,2.921596233197305,2.675887620999633,10.964906474950826
86,2.921596233197305,2.675887620999633,10.97726958877708
