Time(Iteration),UCBLinearBanditTheta
0,0.9751242691077223
1,0.9669348020488332
2,0.963957009824111
3,0.9464130643163896
4,0.926812510675156
5,0.9227186144300381
6,0.9084969544285919
7,0.9056789297281839
8,0.8968090685305647
9,0.892382749030792
10,0.8871112825777671
11,0.8825772022350673
12,0.8809432315158585
13,0.877527318473818
14,0.8777832862520578
15,0.8624006257736353
16,0.8623130603263096
17,0.8604926788463244
18,0.8613538824641974
19,0.8513311725162414
20,0.8543772625759519
21,0.8541469539707973
22,0.8545950371871986
23,0.8529344282073023
24,0.8514716684818378
25,0.8520472856220318
26,0.8517401626883497
27,0.8517820031439557
28,0.8516028921959459
29,0.8512254882140912
30,0.8511118793091066
31,0.8514207356751664
32,0.8513682426303
33,0.8510798646932634
34,0.8512000154567158
35,0.8510159837700535
36,0.8510587815711492
37,0.8509321890993661
38,0.8508166150536797
39,0.8508503461418006
40,0.8510557574473324
41,0.8507817543109331
42,0.8508402857959478
43,0.8510777685496157
44,0.8510768463419645
45,0.851130968248406
46,0.85130407938716
47,0.8514104752746622
48,0.8546823421243275
49,0.8544959635893777
50,0.8443885191248764
51,0.8471145051850314
52,0.847214367278671
53,0.8472533642852301
54,0.8472059879099014
55,0.8472464618552438
56,0.847072340981636
57,0.8470422843295985
58,0.8470396292181436
59,0.8470567382828749
60,0.8484020602660974
61,0.8489681735980342
62,0.8493416853143447
63,0.8490233969620643
64,0.8489248925837733
65,0.8490451713847855
66,0.8489745551484809
67,0.8485471683771397
68,0.8486283017333218
69,0.8465821369915979
70,0.8346619987734873
71,0.834352376385862
72,0.8327700735327639
73,0.8326651470903862
74,0.8326049734097346
75,0.8325011810644177
76,0.8325624691117778
77,0.8326895938248949
78,0.8326655365519656
79,0.8326380131398986
80,0.8326875720607939
81,0.8327653814124405
82,0.8327757502750247
83,0.8326965035332019
84,0.8327269094416969
85,0.8327302439985604
86,0.8326100272535506
87,0.8326254165210732
88,0.8325522813478086
89,0.8324946269416111
90,0.8324284500708048
91,0.83237485177722
92,0.8324430388548361
93,0.8324451569055595
94,0.8323987506414288
95,0.8323138544694576
96,0.8324089407156194
97,0.8324812157197554
98,0.8324865246172545
99,0.832502908472161
100,0.8324641940625674
101,0.8324872931314573
102,0.8325706877726242
103,0.8325629337085851
104,0.8325255624463475
105,0.832521905015537
106,0.8325620040751935
107,0.8326238205803473
108,0.8326380001063841
109,0.8326026573055595
110,0.8326302209853967
111,0.8326166978435244
112,0.8326307389048082
