Time(Iteration),EpsilonGreedyLinearBanditTheta,UCBLinearBanditTheta,TSLinearBanditTheta,PHELinearBanditTheta
0,0.9854233536263564,0.982935323662549,0.9761820012372728,0.982935323662549
1,0.9773012991431603,0.9694966650731482,0.9590522935863071,0.9694966650731482
2,0.9587284720366105,0.9526402312714284,0.9384482802573959,0.9526402312714284
3,0.9558319431588023,0.9456785024435291,0.9269045530920866,0.9456785024435291
4,0.9379054090312682,0.940295095356246,0.9128341670628253,0.940295095356246
5,0.9298587622011032,0.9345366578030635,0.9036937570118344,0.9345366578030635
6,0.9271442581896727,0.9264707756183904,0.8966153365847358,0.9264707756183904
7,0.9220816466722322,0.9231685795646308,0.8871849189824583,0.9231685795646308
8,0.9157014803956061,0.9032323226157931,0.8587668242257596,0.9032323226157931
9,0.9099538738709242,0.9012521770483619,0.834220028638733,0.9012521770483619
10,0.9060368646138401,0.9011047726593937,0.8248109402656996,0.9011047726593937
11,0.9063147660389779,0.8926947819807168,0.792258998144618,0.8926947819807168
12,0.8944879951255784,0.8885426463992981,0.761597557865868,0.8885426463992981
13,0.8878977536327689,0.8818958755770903,0.7493043597057332,0.8818958755770903
14,0.8869793249629124,0.872994190114446,0.7379903233727264,0.872994190114446
15,0.8839128788990012,0.8726856036336818,0.7328781953278918,0.8726856036336818
16,0.8831954519677545,0.873797239539489,0.717159890451199,0.873797239539489
17,0.8837878560347132,0.8752053769058955,0.7054338278324408,0.8752053769058955
18,0.8784391611374881,0.8717555648732542,0.6697556019143717,0.8717555648732542
19,0.8765581222192221,0.8712085692104358,0.6431240920420281,0.8712085692104358
20,0.8761443702545272,0.8680755981532895,0.6378890241840487,0.8680755981532895
21,0.8648807378273293,0.8558620812762445,0.6190617009784671,0.8558620812762445
22,0.8638295949572751,0.8562641846110571,0.5910206497329,0.8562641846110571
23,0.8500048030010028,0.8419767496824028,0.5659078370342172,0.8419767496824028
24,0.8506639120371874,0.8418562125198079,0.5552664034699801,0.8418562125198079
25,0.8497809961098948,0.8418875502309963,0.5220812053287552,0.8418875502309963
26,0.8463671685328734,0.8418737199513329,0.5115607726192939,0.8418737199513329
27,0.835497154352686,0.8419372348487716,0.49820678780062844,0.8419372348487716
28,0.8349473177042533,0.8420076326322624,0.494263434150093,0.8420076326322624
29,0.8290388352177196,0.8419033638871944,0.45926908352463824,0.8419033638871944
30,0.8279071207244495,0.8419876736432373,0.4523197145862704,0.8419876736432373
31,0.8255849687926643,0.8419446692063197,0.45270137949963074,0.8419446692063197
32,0.8183059527448758,0.8419539842766041,0.4502191858527641,0.8419539842766041
33,0.808938037610028,0.8418841367231666,0.449441084723232,0.8418841367231666
34,0.808728927923592,0.8396942905574052,0.44831311021340065,0.8396942905574052
35,0.808696205274893,0.8383638105349809,0.4266240602342509,0.8383638105349809
36,0.808737191585354,0.8397462822041462,0.421132383883677,0.8397462822041462
37,0.8078864529510266,0.8358772951811273,0.4187450105895397,0.8358772951811273
38,0.8078628058660694,0.8347274295291109,0.4164706967475308,0.8347274295291109
39,0.8078354414664325,0.8338990033127089,0.4110138265757818,0.8338990033127089
40,0.8022154938262561,0.8340835185194629,0.40893899865356936,0.8340835185194629
41,0.8023027578170565,0.8342546453077672,0.4073885091374085,0.8342546453077672
42,0.7975302055551681,0.8321198225841391,0.40530641410879553,0.8321198225841391
43,0.7898114049972699,0.8284615525614187,0.40385417611372254,0.8284615525614187
44,0.7899468527698692,0.8250753000302005,0.40087790282495855,0.8250753000302005
45,0.7900431154211445,0.8245031180685581,0.3924347422138553,0.8245031180685581
46,0.7803249870988883,0.8245146440434542,0.38631220034200553,0.8245146440434542
47,0.7742145757761975,0.8213636248259293,0.3813668365460569,0.8213636248259293
48,0.773870237674257,0.8212285454970045,0.3793707434238162,0.8212285454970045
49,0.774399182270905,0.8244462672344819,0.3803333600535992,0.8244462672344819
50,0.7746650233049606,0.8242080884929559,0.37749073566708125,0.8242080884929559
51,0.775456573288622,0.8221394261893392,0.376031697441889,0.8221394261893392
52,0.7746380316124306,0.8241253582885291,0.3745241669862526,0.8241253582885291
53,0.7454002286885736,0.8102892047796484,0.37478060519331946,0.8102892047796484
54,0.740595513767655,0.8105695941413428,0.3729156693370302,0.8105695941413428
55,0.7423684784241554,0.8000121048050973,0.3729844878831482,0.8000121048050973
56,0.7431222624713043,0.8012176536793547,0.37419977554520806,0.8012176536793547
57,0.7424554390956327,0.7914046446289619,0.36814042016973436,0.7914046446289619
58,0.7425810781503956,0.7868931458047449,0.36590752887572225,0.7868931458047449
59,0.7424943471454964,0.7827615624557768,0.3663560870552861,0.7827615624557768
60,0.7417918166843676,0.7822599253920651,0.3631470261129109,0.7822599253920651
61,0.7249399020999443,0.782207195985541,0.35966425939054253,0.782207195985541
62,0.7100761361446526,0.7821492843724127,0.357221582781064,0.7821492843724127
63,0.7086268573066605,0.7746647626835774,0.3564220029264712,0.7746647626835774
64,0.7064177372372498,0.7746584259855321,0.3526061230966282,0.7746584259855321
