Time(Iteration),UCBMultiArmedBandit,TSMultiArmedBandit,PHEMultiArmedBandit
0,0.3487712522011409,0.43240166054013096,0.3487712522011409
1,0.7604850609614309,0.8240592238593321,0.7604850609614309
2,1.0409192892307828,1.2833895531610862,1.0409192892307828
3,1.4171374557736527,1.7417408187571959,1.4171374557736527
4,1.8998233880738167,2.192338663308628,1.8998233880738167
5,2.229679141749594,2.5868452861940616,2.229679141749594
6,2.5613997628746112,2.9999966679530425,2.5613997628746112
7,3.0084219042549902,3.49804017961874,3.0084219042549902
8,3.4419413167345665,3.8112466356751016,3.4419413167345665
9,3.7813589747279757,4.193080019614486,3.7813589747279757
10,4.1933755356536935,4.510502528309511,4.1933755356536935
11,4.613939699362449,4.937034048674478,4.613939699362449
12,5.080622202232202,5.329399868344298,5.080622202232202
13,5.441865047864028,5.700992272387058,5.441865047864028
14,5.894018847835451,6.101422221529453,5.894018847835451
15,6.33086549911997,6.504753723793668,6.33086549911997
16,6.751138070087315,7.044747161274683,6.751138070087315
17,7.15295340221154,7.49077535715998,7.15295340221154
18,7.684056371024736,7.781336480189997,7.684056371024736
19,8.204949064302358,8.215299644971875,8.204949064302358
20,8.574929161702995,8.514228032367964,8.574929161702995
21,9.05621258542012,8.90279356431952,9.05621258542012
22,9.545280246832736,9.233148197263711,9.545280246832736
23,9.87713849803502,9.504541118694762,9.87713849803502
24,10.367417100572574,9.880200212602068,10.367417100572574
25,10.405506942940182,10.145876454494596,10.405506942940182
26,10.44178583966249,10.367031967783044,10.44903978778813
27,10.492913381830537,10.425268568066368,10.469658777067703
28,10.53789972303864,10.607527250469516,10.490277766347274
29,10.579366155889899,10.64563416179436,10.510896755626847
30,10.63257893028185,10.6591471603974,10.531515744906418
31,10.732332851950124,10.6591471603974,10.55213473418599
32,10.746254328877818,10.697668812593609,10.572753723465564
33,10.787774890335765,10.709619218232508,10.593372712745134
34,10.847980309968687,10.72537943762741,10.613991702024707
35,10.924705686157276,10.736564768909194,10.634610691304278
36,10.959936472426623,10.782686252659262,10.655229680583851
37,10.978940288938919,10.786617635815405,10.675848669863424
38,11.030482567031196,10.806548232679662,10.686477565371444
39,11.058882900050993,10.8138021808053,10.707096554651017
40,11.100014379169867,10.8138021808053,10.72771554393059
41,11.200941587265506,10.829683969600344,10.74833453321016
42,11.306596685082905,10.833615352756487,10.768953522489733
43,11.310528068239048,10.850647815173271,10.789572511769304
44,11.354134115129252,10.854579198329414,10.810191501048877
45,11.380055349532276,10.866408034568172,10.83081049032845
46,11.52460535609865,10.866408034568172,10.85142947960802
47,11.531859304224291,10.866408034568172,10.872048468887593
48,11.56057939545978,10.873661982693813,10.892667458167164
49,11.56057939545978,10.88596828685423,10.913286447446737
50,11.570796300422176,10.88596828685423,10.93390543672631
51,11.570796300422176,10.88596828685423,10.94453433223433
52,11.633228939904841,10.89595838062578,10.955163227742352
53,11.653103028834256,10.89595838062578,10.965792123250374
54,11.670347070731447,10.928835723706259,10.976421018758396
55,11.746290480679372,10.928835723706259,10.987049914266418
56,11.768813689802183,10.936617067446484,10.997678809774438
