Time(Iteration),TSMultiArmedBandit
0,0.3713744635111115
1,0.7596850970387352
2,1.118906631478752
3,1.5137017215578883
4,1.9983829358752587
5,2.3152537767580252
6,2.6752324762885467
7,3.122243406208068
8,3.601157971979852
9,3.9406637333472014
10,4.348760550895898
11,4.638364219527709
12,4.982161817763865
13,5.381345182303135
14,5.79196690672335
15,6.126303859662713
16,6.517511422359844
17,6.903896559235044
18,7.25240357067875
19,7.722646585617016
20,8.063623247909163
21,8.494632967185549
22,8.884902634619959
23,9.31724675690683
24,9.670018585735612
25,10.132008870365027
26,10.421502690076704
27,10.8894274981058
28,11.272678186744875
29,11.586568964845226
30,11.871936911616261
31,12.328172984587686
32,12.740447237947466
33,13.107216245877108
34,13.398394475192173
35,13.78845946686489
36,14.167851284957042
37,14.540448111590445
38,14.769767695745955
39,15.183718177618706
40,15.473406438586187
41,15.806483429752339
42,16.344661377801874
43,16.7984117605375
44,17.2380998912436
45,17.621490184965015
46,17.999126396781634
47,18.404313116536517
48,18.715608518760614
49,19.131824609117213
50,19.563831132802182
51,20.03631952242965
52,20.468988388492374
53,20.9288304468033
54,21.39646892452219
55,21.804938770604046
56,22.310464683228812
57,22.810488998355975
58,23.235475813827453
59,23.6477628267808
60,24.035934797464062
61,24.447238110176606
62,24.902783978881978
63,25.32461779149777
64,25.63721492615238
65,26.055421913404324
66,26.398565342180195
67,26.857040958130398
68,27.168430939741548
69,27.528201898695364
70,27.85151867753616
71,28.226593912542334
72,28.574705306053424
73,28.957129362721666
74,29.280816124904952
75,29.640232122701025
76,29.891626264124
77,30.160807147849294
78,30.567298868777915
79,30.881030489370335
80,31.28051852095131
81,31.713919495449357
82,32.03929461717821
83,32.36090656628019
84,32.723842216271805
85,33.07144185590877
86,33.485864392920895
87,33.89517506619426
88,34.25576781483662
89,34.72666783513786
90,34.99030595415026
91,35.35649914151384
92,35.74028110731147
93,36.14183139577401
94,36.457978418165496
95,36.91468742344943
96,37.2416660775343
97,37.670717694954256
98,38.07145493389005
99,38.49020334046873
100,38.86033564932065
101,39.32463814593363
102,39.628374829069955
103,40.06773495569023
104,40.46502031653809
105,40.894904002538894
106,41.315981702994996
107,41.7229747912434
108,42.106602492630124
109,42.507471188187054
110,42.92538832901606
111,43.31751625947233
112,43.75139200420115
113,44.1358128820556
114,44.511205179969686
115,44.893874423616126
116,45.25337650594777
117,45.75432421845581
118,46.08883619623358
119,46.461578980130206
120,46.8048460019316
121,47.20254091781349
122,47.618062299275486
123,48.01733342108092
124,48.319730927371786
125,48.58822694407322
126,48.980220430061145
127,49.241644762175035
128,49.60293425334773
129,49.988164164352305
130,50.3988213952509
131,50.64751855120855
132,51.010563464354234
133,51.46830690646857
134,51.89181375028954
135,52.318830726891704
136,52.829923031635644
137,53.240031055958
138,53.7449920471034
139,54.14529991279767
140,54.545908257398175
141,54.87144094906231
142,55.30444630725724
143,55.65698231383139
144,55.955877834934995
145,56.295388083010245
146,56.69914086333817
147,57.00714481002342
148,57.410146070602494
149,57.77472175906259
150,58.29022432268564
151,58.69283480315895
152,59.04941631179165
153,59.43834222346724
154,59.78135699520851
155,60.13803583646396
156,60.46551229034943
157,60.89140664378444
158,61.35333231400169
159,61.75082204267818
160,62.10498922254402
161,62.474986549340386
162,62.94428874989401
163,63.318043282903446
164,63.65668713852225
165,64.11134517943461
166,64.52048749509524
167,64.92905057737828
168,65.3511916311764
169,65.77828212475836
170,65.99668553572965
171,66.31887447109968
172,66.71299626587418
173,67.10088821425674
174,67.47484443169722
175,67.85333081596418
176,68.28751895952516
177,68.69332733983885
178,69.04726191051269
179,69.43249581976396
180,69.81548912081549
181,70.14032469935161
182,70.62724290007
183,71.067853007928
184,71.38268652032374
185,71.69850679468075
186,72.07779286999944
187,72.37420484902262
188,72.72682850456697
189,73.03236747582771
190,73.41062958879033
191,73.9071349563611
192,74.36882189700728
193,74.91164103490006
194,75.42210591326169
195,75.83161357222286
196,76.27070660007747
197,76.67240010623904
198,77.08819387698375
199,77.55404538243161
