Time(Iteration),UCBLinearBanditTheta
0,0.978220247263903
1,0.9611586134604643
2,0.9397047202452378
3,0.9310477985109633
4,0.894602451447307
5,0.8712536815956314
6,0.8613959406841639
7,0.8500665077625869
8,0.812026636080715
9,0.8091594879390952
10,0.7837173846089177
11,0.7742384773352905
12,0.7568477322031872
13,0.7327867017320924
14,0.7163512862962971
15,0.6845045880662608
16,0.6512971177507288
17,0.6178366157302798
18,0.5992942321187046
19,0.58055481748229
20,0.5613732717539375
21,0.5166735675605018
22,0.4845878805389357
23,0.4777766546852972
24,0.43307933701579415
25,0.4294210266195514
26,0.42707435439852615
27,0.4204875962639246
28,0.4179191917302176
29,0.41460714136892013
30,0.41274604473892984
31,0.4133358594839356
32,0.4127160008892936
33,0.40530621861522453
34,0.4056314039210765
35,0.4055186404414301
36,0.40939270747844825
37,0.4074611601788005
38,0.40969130551160243
39,0.4081476242959564
40,0.4063890056365865
41,0.40381368461700495
42,0.40081363560655703
43,0.40151640377394104
44,0.4005368081237951
45,0.39789419285866934
46,0.39361139929702194
47,0.3931632926617569
48,0.3919033178477542
49,0.39158191371929296
50,0.3902092546032539
51,0.38728205424571777
52,0.38715479835566724
53,0.3863990487822213
54,0.3809347864386871
55,0.38159369681340344
56,0.3807199044648827
57,0.380519122934519
58,0.3801888043452635
59,0.38127386060218815
60,0.3816046055208763
61,0.38135280936908866
62,0.3812459872293868
63,0.38074035818917845
64,0.3800289730733511
65,0.3797100871903373
66,0.3797176330922293
67,0.3793971180586554
68,0.3792495782925989
69,0.379032164181034
70,0.3789763329354695
71,0.37774847394829386
72,0.37690442334411384
73,0.37686069020515056
74,0.3754357566705701
75,0.3759579409665977
76,0.375225285689838
77,0.3750961199617226
78,0.3721549349116867
79,0.372523984880821
80,0.3725275410191429
81,0.3706182163539678
82,0.3704801149677561
83,0.3705614412318339
84,0.36868796380349755
85,0.36694327060452125
86,0.36695469307025974
87,0.36738411728280224
88,0.36763048373311225
89,0.3675118655082835
90,0.3651190346004154
