Time(Iteration),PHELinearBanditTheta
0,1.0615788986924364
1,1.0698076548154352
2,1.2070188152742811
3,1.1910481228193759
4,1.229342958306582
5,1.3083734262020552
6,1.2382039201877455
7,1.2648323234674517
8,1.4458299211145171
9,1.4325795796211318
10,1.4526388150532732
11,1.504215540016168
12,1.4200041737067224
13,1.6010476196688301
14,1.6460018428978802
15,1.5720631016488382
16,1.6600357025194423
17,1.6281615967233674
18,1.6121457836579727
19,1.6746129117091777
20,1.6582775265617724
21,1.7646522443541883
22,1.6815941101380196
23,1.910825616327657
24,1.889398414233393
25,1.8445536421582964
26,1.8504187762019413
27,1.9605915313612197
28,1.992126090080514
29,1.855641357001306
30,1.8543794056835563
31,1.8667458636552479
32,1.794153270279122
33,1.8507776731507053
34,1.8927408816395306
35,1.915774769084069
36,1.8163223574623264
37,1.7310995669837506
38,1.9167849471005662
39,1.7731431146975243
40,1.707245331608836
41,1.8198012746730847
42,1.8306416065914903
43,1.8323766536968726
44,1.7812562131866758
45,1.8885378157611368
46,1.8704698856863806
47,1.905650557117434
48,1.8822322616455758
49,1.8799027451557833
50,1.83128250762909
51,1.8776432969416157
52,1.8365767373050244
53,1.8239903103077677
54,1.8181064949902148
55,1.7772343442753005
56,1.7745513789349965
57,1.7930609931937558
58,1.6877364639349597
59,1.7642676371622295
60,1.8600081031356086
61,1.8042430561007579
62,1.7943161086494919
63,1.7699083393321051
64,1.809198828826548
65,1.6993848809900787
66,1.8332502367582122
67,1.7946255623549738
68,1.6815598996678016
69,1.7312719968927273
70,1.8537882514809207
71,1.7276673699589817
72,1.769277089988283
73,1.7703238815238502
74,1.7377040443305654
75,1.7602929732462151
76,1.8127216296718456
77,1.7384329336463675
78,1.873667222907628
79,1.7773268435443488
80,1.8019827745034682
81,1.7502857688648426
82,1.7166001234467345
83,1.7810164602498038
84,1.8569413277782973
85,1.6938926348340835
86,1.7731102060978778
87,1.7907962330853089
88,1.7543239637715657
89,1.7213282796156224
90,1.8248677954523533
91,1.6977692080263318
92,1.7817185703659013
93,1.7326651414208318
94,1.7618753623771801
95,1.7617898936671335
96,1.8116290753698672
97,1.801785993439588
98,1.6496721702416317
99,1.7425343073967663
100,1.8224609978252357
101,1.752227016287525
102,1.8144927266629605
103,1.6990560774829544
104,1.709207768614517
105,1.7842675892609523
106,1.751325055323346
107,1.7217811630123723
108,1.7634104481935746
109,1.7077734176006474
110,1.7474949936369977
111,1.7979008291971716
112,1.7754561348972984
113,1.6980348072955607
114,1.6590423109806074
115,1.8172167887373518
116,1.6478583756231415
117,1.7650377751060862
118,1.6902286693519941
119,1.7026208606321862
120,1.7151196178210402
121,1.8210327474237578
122,1.7477490130395001
123,1.739363567717873
124,1.720488015319416
125,1.6741064698568782
126,1.7380399211329152
127,1.779605639039475
