Time(Iteration),TSLinearBandit
0,0.3869877759633157
1,0.7462641178212019
2,1.1966584670110127
3,1.6894333715997987
4,2.1566683248860588
5,2.507858686016837
6,2.8664867895243074
7,3.139572333861959
8,3.512699795867934
9,3.884064068013488
10,4.322465064319515
11,4.727403420351851
12,5.049505058181592
13,5.4274192984626435
14,5.8821397558660475
15,6.183533151061371
16,6.542318371480505
17,6.883699398714424
18,7.157332056357693
19,7.528947243008259
20,7.800920123046419
21,8.157369708951368
22,8.379531231936488
23,8.658598278006576
24,8.88588375396705
25,9.104980179432493
26,9.442481963428667
27,9.808865523306842
28,10.016471513841944
29,10.179939064060864
30,10.414135214332036
31,10.559871060951213
32,10.689877059137363
33,10.945564733210162
34,11.1238566126023
35,11.32428344016026
36,11.528157676828439
37,11.687612974011763
38,11.824711703954922
39,11.899918462585742
40,12.094753912829827
41,12.195065310414725
42,12.372332486855946
43,12.493016508989065
44,12.610892474317314
45,12.752289189225154
46,12.884154456454842
47,13.087337495803164
48,13.286103857398492
49,13.380524574521317
50,13.548200744235388
51,13.588539509262073
52,13.664203845238944
53,13.803983911218248
54,13.860441052177535
55,14.051332724633417
56,14.129835106695324
57,14.270849800671385
58,14.44239758920296
59,14.487769660722103
60,14.563085337145873
61,14.637986614537175
62,14.732079432036889
63,14.78659943563559
64,14.84348292221014
65,14.883957167063155
66,14.960063738973414
67,15.062875840053504
68,15.146147632740375
69,15.185444641763695
70,15.283810273221789
71,15.357370820179899
72,15.407198428523804
73,15.451004885322854
74,15.544687788110764
75,15.577459913125804
76,15.667961602018176
77,15.706477799581904
78,15.810866467627466
79,15.880380613461924
80,15.979388830268075
81,16.020912747894364
82,16.088742263826003
83,16.19853124294694
84,16.240769498503624
85,16.28141432118734
86,16.320062987010708
87,16.367082783831897
88,16.438061569679256
89,16.566927683086135
90,16.587377881577858
91,16.65651522843674
92,16.68030446760582
93,16.75833690092343
94,16.79444996092092
95,16.84014672123854
96,16.86671586591865
97,17.075133418465878
98,17.120697491767938
99,17.199894100797916
100,17.296952533853272
101,17.315032041545084
102,17.371114083652387
103,17.410079178562906
104,17.446922047915358
105,17.504567208320672
106,17.557170969242357
107,17.579524922153333
108,17.61636014893045
109,17.711631334537934
110,17.765201466248044
111,17.797126289087164
112,17.84826113013681
113,17.930497671714296
114,18.006585199929724
115,18.04252165331316
116,18.082801887397146
117,18.1479546406298
118,18.19445314831818
119,18.292632368620357
120,18.304837301859163
121,18.352577211524114
122,18.428870741324555
123,18.4360379646213
124,18.49384553433529
125,18.544553604990202
126,18.62101364115813
127,18.62868963505006
128,18.6745475857185
129,18.70496363851278
130,18.76301466033362
131,18.819021399801876
132,18.901254902471496
133,18.99878377033498
134,19.02591238974138
135,19.044587383962405
136,19.046369095046554
137,19.079020859139874
138,19.098728149819586
139,19.142816497059687
140,19.157759992522436
141,19.21466258150531
142,19.2877276555588
143,19.320770166226602
144,19.36336611853536
145,19.39222346176856
146,19.402955917200156
147,19.425660101236282
148,19.46459403897483
149,19.46733260119877
150,19.480112380054347
151,19.50339315641252
152,19.556166051388363
153,19.57302847587197
154,19.57984968372394
155,19.6065194121012
156,19.663541796602694
157,19.681993426258234
158,19.69508675280446
159,19.7210283602185
160,19.742772590388558
161,19.746855236016586
162,19.775464545586992
163,19.785148024793582
164,19.821074202656284
165,19.86795170471482
166,19.938167317940856
167,19.954913490930764
168,19.97915793584517
169,19.994665322026353
170,20.01073861755681
171,20.063089768293608
172,20.09928185723981
173,20.09928185723981
174,20.13225964941431
175,20.136342295042336
176,20.157914967441606
177,20.173974515290624
178,20.246796213175756
179,20.254472207067685
180,20.2705317549167
181,20.2705317549167
182,20.27826742329281
183,20.33629382389467
184,20.35865234402343
185,20.395209379874693
186,20.462593632028664
187,20.47165477814442
188,20.481390653910506
189,20.51532211281783
190,20.57146080562371
191,20.588636777797962
192,20.588636777797962
193,20.588636777797962
194,20.603479994986635
195,20.633551789136728
196,20.665686166259423
197,20.68962235000555
198,20.718224268718078
199,20.738991093591455
200,20.77021706646673
201,20.774953129995122
202,20.79625927827904
203,20.827172598863598
204,20.8549564528307
205,20.90840556548673
206,20.923749266583496
207,20.950025840606056
208,20.984661215193533
209,21.025589367668125
210,21.03465051378388
211,21.03465051378388
212,21.0441894896735
213,21.051356712970243
214,21.067644291837077
215,21.14560522837825
216,21.159245333842595
217,21.161027044926744
218,21.163765607150687
219,21.192716194478393
220,21.23222275383712
221,21.23567277953667
222,21.279444667995342
223,21.282183230219285
224,21.323256468094367
225,21.34038188027528
226,21.357281182846013
227,21.371745977984467
228,21.371745977984467
229,21.371745977984467
230,21.3934706514621
231,21.408198744515428
232,21.435597058109728
233,21.455558454219382
234,21.478351506225795
235,21.486037484127934
236,21.52485148079545
237,21.565169068134516
238,21.609896536446264
239,21.640557566680915
240,21.64803219243325
241,21.66014683140819
242,21.69776297721183
243,21.718989703889633
244,21.718989703889633
245,21.73643999466403
246,21.763628753974753
247,21.781335965035495
248,21.78850318833224
249,21.832070658198962
250,21.897134584843556
251,21.937619832821436
252,21.96189840718698
253,22.005608439808615
254,22.014669585924366
255,22.08372164581979
256,22.132177330088094
257,22.138418420451682
258,22.138418420451682
259,22.14250106607971
260,22.163462506298636
261,22.168694243082335
262,22.172776888710363
263,22.186416994174706
264,22.234668359905196
265,22.234668359905196
266,22.274658631858987
267,22.278741277487015
268,22.309333661915083
269,22.313416307543115
270,22.320899795522827
271,22.320899795522827
272,22.36751619607285
273,22.384007940150145
274,22.44830545492166
275,22.47397542590762
276,22.50822856719229
277,22.52598533555022
278,22.53121707233392
279,22.557392716924003
280,22.562624453707702
281,22.589060742822515
282,22.608487089547307
283,22.61903946904669
284,22.647371891711895
285,22.655107560088005
286,22.672170665279946
287,22.70309978905624
288,22.70309978905624
289,22.716825464153274
290,22.732247110431523
291,22.790440095788927
292,22.831485520295082
293,22.855183268098926
294,22.863991102075964
295,22.86988538488374
296,22.875749741595918
297,22.899118695630413
298,22.913846788683742
299,22.94151483561307
300,22.94496486131262
301,22.966081613132072
302,22.976405349123688
303,22.976405349123688
304,23.00344077612454
305,23.05039074511985
306,23.07392174998251
307,23.0900146637118
308,23.1246824217495
309,23.154447022688885
310,23.165808350985262
311,23.17532573044552
312,23.177107441529667
313,23.184597436322836
314,23.196306028021304
315,23.234190578400053
316,23.23827322402808
317,23.2826755122058
318,23.33105872240421
319,23.347952352628184
320,23.352688416156575
321,23.355426978380518
322,23.375681316499815
323,23.407630699300853
