Time(Iteration),PHELinearBandit
0,0.5213549663432374
1,1.0427099326864746
2,1.564064899029712
3,2.085419865372949
4,2.6067748317161867
5,3.1281297980594243
6,3.6494847644026613
7,4.170839730745898
8,4.692194697089136
9,5.2135496634323735
10,5.734904629775611
11,6.2562595961188485
12,6.777614562462088
13,7.298969528805327
14,7.820324495148566
15,8.341679461491804
16,8.863034427835043
17,9.384389394178282
18,9.90574436052152
19,10.42709932686476
20,10.948454293207998
21,11.469809259551237
22,11.991164225894476
23,12.512519192237715
24,13.033874158580954
25,13.555229124924193
26,14.076584091267431
27,14.59793905761067
28,15.119294023953909
29,15.640648990297148
30,16.162003956640387
31,16.683358922983626
32,17.204713889326865
33,17.726068855670103
34,18.247423822013342
35,18.76877878835658
36,19.29013375469982
37,19.81148872104306
38,20.332843687386298
39,20.854198653729537
40,21.375553620072775
41,21.896908586416014
42,22.418263552759253
43,22.939618519102492
44,23.46097348544573
45,23.98232845178897
46,24.50368341813221
47,25.025038384475447
48,25.546393350818686
49,26.067748317161932
50,26.589103283505175
51,27.11045824984842
52,27.631813216191667
53,28.15316818253491
54,28.674523148878155
55,29.195878115221397
56,29.717233081564643
57,30.23858804790789
58,30.75994301425113
59,31.281297980594378
60,31.80265294693762
61,32.324007913280866
62,32.84536287962411
63,33.36671784596736
64,33.8880728123106
65,34.40942777865384
66,34.93078274499709
67,35.452137711340335
68,35.97349267768358
69,36.49484764402682
70,37.016202610370065
71,37.53755757671331
72,38.05891254305656
73,38.5802675093998
74,39.10162247574304
75,39.62297744208629
76,40.144332408429534
77,40.66568737477278
78,41.187042341116026
79,41.708397307459265
80,42.22975227380251
81,42.75110724014576
82,43.272462206489
83,43.79381717283225
84,44.31517213917549
85,44.83652710551873
86,45.35788207186198
87,45.879237038205225
88,46.40059200454847
89,46.92194697089171
90,47.443301937234956
91,47.9646569035782
92,48.48601186992145
93,49.007366836264694
94,49.52872180260793
95,50.05007676895118
96,50.571431735294425
97,51.09278670163767
98,51.61414166798089
99,52.13549663432411
100,52.65685160066734
101,53.178206567010555
102,53.69956153335378
103,54.220916499697
104,54.74227146604022
105,55.26362643238345
106,55.784981398726664
107,56.30633636506989
108,56.82769133141311
109,57.34904629775633
110,57.870401264099556
111,58.39175623044277
112,58.913111196786
113,59.434466163129215
114,59.95582112947244
115,60.477176095815665
116,60.99853106215888
117,61.51988602850211
118,62.041240994845325
119,62.56259596118855
120,63.083950927531774
121,63.60530589387499
122,64.12666086021821
123,64.64801582656143
124,65.16937079290466
125,65.69072575924788
126,66.21208072559111
127,66.73343569193432
128,67.25479065827754
129,67.77614562462077
130,68.29750059096399
131,68.81885555730722
132,69.34021052365043
133,69.86156548999365
134,70.38292045633688
135,70.9042754226801
136,71.42563038902333
137,71.94698535536654
138,72.46834032170976
139,72.98969528805299
140,73.51105025439621
141,74.03240522073943
142,74.55376018708264
143,75.07511515342587
144,75.5964701197691
145,76.11782508611232
146,76.63918005245554
147,77.16053501879875
148,77.68188998514198
149,78.2032449514852
150,78.72459991782843
151,79.24595488417165
152,79.76730985051486
153,80.28866481685809
154,80.81001978320131
155,81.33137474954454
156,81.85272971588776
157,82.37408468223097
158,82.8954396485742
159,83.41679461491742
160,83.93814958126065
161,84.45950454760387
162,84.98085951394708
163,85.5022144802903
164,86.02356944663353
165,86.54492441297675
166,87.06627937931998
167,87.58763434566319
168,88.10898931200641
169,88.63034427834964
170,89.15169924469286
171,89.67305421103609
172,90.1944091773793
173,90.71576414372252
174,91.23711911006575
175,91.75847407640897
176,92.2798290427522
177,92.80118400909541
178,93.32253897543863
179,93.84389394178186
180,94.36524890812508
181,94.8866038744683
182,95.40795884081152
183,95.92931380715474
184,96.45066877349797
185,96.97202373984119
186,97.49337870618442
187,98.01473367252763
188,98.53608863887085
189,99.05744360521408
190,99.5787985715573
191,100.10015353790052
192,100.62150850424374
193,101.14286347058696
194,101.66421843693018
195,102.18557340327341
196,102.70692836961663
197,103.22828333595987
198,103.74963830230311
199,104.27099326864634
200,104.79234823498957
201,105.3137032013328
202,105.83505816767604
203,106.35641313401928
204,106.8777681003625
205,107.39912306670574
206,107.92047803304897
207,108.4418329993922
208,108.96318796573544
209,109.48454293207867
210,110.0058978984219
211,110.52725286476513
212,111.04860783110837
213,111.56996279745161
214,112.09131776379483
215,112.61267273013807
216,113.1340276964813
217,113.65538266282454
218,114.17673762916777
219,114.698092595511
220,115.21944756185424
221,115.74080252819746
222,116.2621574945407
223,116.78351246088394
224,117.30486742722717
225,117.8262223935704
226,118.34757735991363
227,118.86893232625687
228,119.3902872926001
229,119.91164225894333
230,120.43299722528657
231,120.9543521916298
232,121.47570715797303
233,121.99706212431627
234,122.5184170906595
235,123.03977205700274
236,123.56112702334596
237,124.0824819896892
238,124.60383695603244
239,125.12519192237566
240,125.6465468887189
241,126.16790185506213
242,126.68925682140537
243,127.2106117877486
244,127.73196675409183
245,128.25332172043505
246,128.7746766867783
247,129.29603165312153
248,129.81738661946477
249,130.338741585808
250,130.86009655215122
251,131.38145151849446
252,131.9028064848377
253,132.42416145118094
254,132.94551641752417
255,133.46687138386739
256,133.98822635021062
257,134.50958131655386
258,135.0309362828971
259,135.55229124924034
260,136.07364621558355
261,136.5950011819268
262,137.11635614827003
263,137.63771111461327
264,138.1590660809565
265,138.68042104729972
266,139.20177601364296
267,139.7231309799862
268,140.24448594632943
269,140.76584091267267
270,141.28719587901588
271,141.80855084535912
272,142.32990581170236
273,142.8512607780456
274,143.37261574438884
275,143.89397071073205
276,144.4153256770753
277,144.93668064341853
278,145.45803560976177
279,145.979390576105
280,146.50074554244821
281,147.02210050879145
282,147.5434554751347
283,148.06481044147793
284,148.58616540782117
285,149.10752037416438
286,149.62887534050762
287,150.15023030685086
288,150.6715852731941
289,151.19294023953734
290,151.71429520588055
291,152.23565017222379
292,152.75700513856702
293,153.27836010491026
294,153.7997150712535
295,154.3210700375967
296,154.84242500393995
297,155.3637799702832
298,155.88513493662643
299,156.40648990296967
300,156.92784486931288
301,157.44919983565612
302,157.97055480199936
303,158.4919097683426
304,159.01326473468583
305,159.53461970102904
306,160.05597466737228
307,160.57732963371552
308,161.09868460005876
309,161.620039566402
310,162.1413945327452
311,162.66274949908845
312,163.1841044654317
313,163.70545943177493
314,164.22681439811817
315,164.74816936446138
316,165.26952433080461
317,165.79087929714785
318,166.3122342634911
319,166.83358922983433
