Time(Iteration),TSLinearBandit,zyt_TSLinearBandit
0,0.37634387419153914,0.523329218580882
1,0.7243603618073826,0.9330815016682678
2,1.077157716498095,1.283610413625023
3,1.418302999640467,1.6973712935745393
4,1.880093646356436,2.0458309422129695
5,2.261572718348912,2.3466352306082796
6,2.6132973161393744,2.7078346172244645
7,2.9958066717223977,2.9917460848218376
8,3.4281812014526176,3.364687515393687
9,3.8978567278232044,3.67207731579706
10,4.174676684866638,3.990354766069578
11,4.552934423852797,4.452745050924159
12,4.9939992221631355,4.8233957260483695
13,5.525286413906611,5.239071929004738
14,5.91300478716042,5.594393932483279
15,6.295154593916651,5.983717352515102
16,6.542593841938562,6.258341545664941
17,6.891058788389506,6.571457945144293
18,7.280495197472092,6.978721349457371
19,7.672842447821351,7.400669016993705
20,7.993826665279322,7.857290018416393
21,8.266542533453586,8.186821965797341
22,8.517014428202305,8.433119523909332
23,8.871742200302467,8.80092084828742
24,9.158720946523712,9.113519892943861
25,9.374313077758547,9.362920831625562
26,9.512921969648833,9.63598243583276
27,9.637629643459578,9.891869086062217
28,9.750507751898642,10.215818989129716
29,9.932578521592008,10.445974696934176
30,9.972399462698283,10.557565531253761
31,9.99828636876394,10.620909869118618
32,10.045149730877373,10.841153583508298
33,10.083678146404637,10.991675109213041
34,10.1133366908234,11.20318756480783
35,10.175234136038561,11.361012909261245
36,10.190067320840178,11.676720554684959
37,10.258188705128577,11.821985684193777
38,10.348224632610144,12.117934569636281
39,10.394169990019774,12.295802853340545
40,10.408504406932806,12.482137743858726
41,10.451730318781708,12.795233689356328
42,10.489675974006094,12.965470067488965
43,10.532901885854994,13.252379125890574
44,10.559992404265456,13.487102914297244
45,10.590682819698163,13.715687332089095
46,10.625439596872322,13.893049244804853
47,10.645390283373024,14.07698267184052
48,10.659724700286056,14.303818720095123
49,10.684089900321004,14.555087310310682
50,10.698424317234036,14.735838414035365
51,10.712758734147068,15.06663932563139
52,10.7270931510601,15.391627914001711
53,10.74142756797313,15.700361896756899
54,10.755761984886162,16.06822452137842
55,10.770096401799194,16.26296308215745
56,10.784430818712226,16.48534884126972
57,10.798765235625257,16.629166883561076
58,10.813099652538288,16.80900618358038
59,10.82743406945132,17.027602695263393
60,10.841768486364352,17.223556398323687
61,10.856102903277383,17.363427623569343
62,10.870437320190415,17.652113107818025
63,10.884771737103446,17.8072142939453
64,10.899106154016478,18.00367396948569
65,10.91344057092951,18.220519487372126
66,10.927774987842541,18.379297865101247
67,10.942109404755573,18.587173356694855
68,10.956443821668604,18.76405296228885
69,10.970778238581635,18.913155964677923
70,10.985112655494667,19.068637168916418
71,10.9994470724077,19.215714394388463
72,11.013781489320731,19.286331070235622
73,11.028115906233761,19.511799118239775
74,11.042450323146793,19.769902091234954
75,11.056784740059825,19.9771982430116
76,11.071119156972857,20.126285027285856
77,11.091069843473559,20.367303873933608
78,11.10540426038659,20.55716786301027
79,11.119738677299623,20.661229917759965
80,11.134073094212654,20.8204665216104
81,11.148407511125686,20.966078973068484
82,11.162741928038717,21.10561570674167
83,11.177076344951749,21.274136528228006
84,11.19141076186478,21.43889277656115
85,11.205745178777812,21.612420662409953
86,11.220079595690844,21.715173624846546
87,11.234414012603875,21.889355039400755
88,11.248748429516906,22.034412745870874
89,11.263082846429938,22.232375061174288
90,11.27741726334297,22.421776512217285
91,11.291751680256002,22.537014520614083
92,11.306086097169032,22.709447146045775
93,11.320420514082064,22.831002058805606
94,11.334754930995096,22.989844614534526
95,11.349089347908128,23.017976952972703
96,11.36342376482116,23.143169294131532
97,11.37775818173419,23.305708342044163
98,11.392092598647222,23.41141445154223
99,11.406427015560254,23.544707049372498
100,11.420761432473286,23.746263995120152
101,11.435095849386318,23.956688505132654
102,11.449430266299348,24.085559765796095
103,11.46376468321238,24.154066967170273
104,11.478099100125412,24.29209912927139
105,11.492433517038444,24.37408609786938
106,11.506767933951476,24.55259111417004
107,11.521102350864506,24.715853800768762
108,11.535436767777538,24.907295682529334
109,11.54977118469057,25.10970641180308
110,11.564105601603602,25.284140147641438
111,11.578440018516634,25.3985598631861
112,11.592774435429664,25.50365076212969
113,11.607108852342696,25.76478464217049
114,11.621443269255728,25.91418828414093
115,11.63577768616876,26.12342129193005
116,11.650112103081792,26.213258003307818
117,11.668046417017068,26.412629270158057
118,11.6823808339301,26.546019559596676
119,11.69671525084313,26.732423478255374
120,11.711049667756162,26.894630903281517
121,11.725384084669194,27.016141946181328
122,11.739718501582226,27.136817582361253
123,11.754052918495258,27.202657382103446
124,11.768387335408288,27.353046439891784
125,11.78272175232132,27.458940871831892
126,11.797056169234352,27.6169172323939
127,11.811390586147384,27.67097930146383
128,11.825725003060416,27.735726084256573
129,11.840059419973446,27.858095298916975
130,11.854393836886478,27.927981323371437
131,11.86872825379951,28.052044344234616
132,11.883062670712542,28.15170087544134
133,11.897397087625574,28.301962460609438
134,11.911731504538604,28.46480398997513
135,11.926065921451636,28.614380601969607
136,11.940400338364668,28.723900569695267
137,11.9547347552777,28.84874122152389
138,11.969069172190732,28.95645870906185
139,11.983403589103762,29.103419007489414
140,11.997738006016794,29.184678497428724
141,12.012072422929826,29.30513867342301
142,12.026406839842858,29.441408954575746
143,12.04074125675589,29.588710827937337
144,12.05507567366892,29.701540278121932
145,12.069410090581952,29.855909325515604
146,12.083744507494984,29.98359763950263
147,12.098078924408016,30.113096728851893
148,12.112413341321048,30.209468203568303
149,12.126747758234078,30.38915374855327
150,12.14108217514711,30.511522490285092
151,12.155416592060142,30.675719042731476
152,12.169751008973174,30.75503170601251
153,12.184085425886206,30.857248147038185
154,12.198419842799236,30.971148589831273
155,12.212754259712268,31.00654569432579
156,12.2270886766253,31.124580495251102
157,12.241423093538332,31.226691202607878
158,12.255757510451364,31.324557665379757
159,12.270091927364394,31.426971078745574
160,12.284426344277426,31.58600231600526
161,12.298760761190458,31.68364036851012
162,12.31309517810349,31.865088409762524
163,12.327429595016522,31.943531572841078
164,12.341764011929552,32.128005848182156
