Time(Iteration),TSLinearBanditTheta,PHELinearBanditTheta
0,0.9982756854589929,0.9661571514432679
1,0.9795746606764457,0.952112900142145
2,0.9542528426570437,0.9312769114583304
3,0.9352437759540588,0.9200178792037187
4,0.9208622858432154,0.8880885595729378
5,0.917626338426804,0.8683817274231391
6,0.9085326130555522,0.8425000517944022
7,0.8853888380110652,0.8221237697685657
8,0.8481476177108428,0.8123175177390161
9,0.832358721461594,0.8021517011323175
10,0.8175357661320163,0.7895803003597079
11,0.8095899848315113,0.7728178944640186
12,0.7973776164597883,0.7395455365713755
13,0.7892994160759692,0.7098526030143226
14,0.7724988013278391,0.6854260031156085
15,0.7388027523165779,0.6792183190283662
16,0.7241807470662204,0.6568615999736718
17,0.6906771861295413,0.6040409330739044
18,0.6794367147804337,0.59147090955925
19,0.644414777217779,0.5533945036410164
20,0.6254124190219745,0.5351531174148303
21,0.6096124273753338,0.52841694332827
22,0.5962055979273538,0.5035434908956968
23,0.57540895040297,0.47438745449088254
24,0.5627172904675003,0.43399362617098786
25,0.5559220922178796,0.43094796449931827
26,0.5238683604054103,0.43152217069867405
27,0.500823923803852,0.4277125902166425
28,0.48634145747778346,0.41794527913935575
29,0.4606049574867289,0.4148338604128889
30,0.42893659447052934,0.4106650810664908
31,0.3956279285214247,0.4060224515319189
32,0.396811597576327,0.40417251840933
33,0.39437335822688463,0.4035541349476951
34,0.39027633717503474,0.3992401230150357
35,0.38532046591902686,0.3993104440766716
36,0.3805960136201902,0.3986134839912985
37,0.37835189648639417,0.39821446211882044
38,0.371058122964295,0.3943998485254939
39,0.3632227376226799,0.39400953432003155
40,0.36041525385577666,0.39603812164149427
41,0.35993055345496444,0.39471333673321424
42,0.3577910355996051,0.3960514249281955
43,0.35552064775398284,0.39664192499457784
44,0.3534975005082163,0.397330492695047
45,0.35400548749229754,0.397553404248019
46,0.353467197562476,0.38972373797517024
47,0.35321049653617764,0.38941843133622167
48,0.3505656962143671,0.39040651975312013
49,0.3473511836647851,0.3818365372530481
50,0.348063940530844,0.3777253829586072
51,0.34680611129539907,0.37712107099700015
52,0.3440364015094492,0.3784148284432472
53,0.3443096086934109,0.37756015580265445
54,0.34097547793499916,0.3795390431449045
55,0.34279649524536954,0.376490081187539
56,0.34027992848784855,0.3788625935203699
57,0.33473280099433894,0.37876473382101783
58,0.3351030734313733,0.379147138679747
59,0.33305269990324515,0.37908111837705516
60,0.3351463783127106,0.37850221491718733
61,0.3328856896476597,0.37927895016804214
62,0.32991527196864723,0.3782095837838188
63,0.3288661734609968,0.3744021903507539
64,0.3286226337411202,0.3742294409556799
65,0.3283358798718704,0.37428698798130183
66,0.327507980391554,0.3734031084297388
67,0.3230813283949655,0.3735842995781381
68,0.3213919232283108,0.37371305403327487
69,0.31858962897096543,0.3714233346829117
70,0.31926658172820965,0.3714981822784003
71,0.31933331110612734,0.3716120792178264
72,0.32214802514745033,0.3718674451768796
73,0.31848482903049885,0.3714642253221388
74,0.31813638820485785,0.37006954133418823
75,0.31644737909537596,0.36932279749302915
76,0.31570277024548327,0.3695967040990612
77,0.3154791628846494,0.36955998487306746
78,0.3137505100942191,0.3695238487829081
79,0.31708283544239857,0.36986759252967916
80,0.31471184935281193,0.37083529262110576
81,0.31221034038346546,0.37125815316492183
82,0.3136685428597749,0.3714161679305149
83,0.31205469506540967,0.3680453159240201
84,0.31454212182820174,0.3674026171470509
85,0.3132058929680764,0.3655455116418091
86,0.31256815107198543,0.36540799930124396
87,0.3117071113180906,0.36556737547225737
88,0.31227220654883986,0.36548307031136973
89,0.31292185118572646,0.3672050205669917
90,0.3096984171505072,0.3671687995220018
91,0.309444806706985,0.3673969330060317
92,0.31003411839200934,0.3674344863550297
93,0.31209899323213697,0.36720302600868976
94,0.3115176569317887,0.36714352419133023
95,0.3099770290468503,0.3669788360866525
96,0.31009525867330884,0.36601042249238713
97,0.3102566021005669,0.3663220508853229
98,0.31079466761705177,0.3653944209598488
99,0.30791550460072514,0.3595059200646259
100,0.30872707839192104,0.3590518395181423
101,0.3084344092395154,0.35685458374547796
102,0.30909174770519954,0.35690166494074194
103,0.310636942504331,0.3568407711621455
104,0.31069237199612526,0.35683942441306843
105,0.3111188230379583,0.3575429518525569
106,0.30963181560804304,0.3570990489138151
107,0.31030722605344985,0.35734016182218065
108,0.3098032178138621,0.3573397623748515
109,0.30672938566521835,0.3573958901266997
110,0.3058482689507631,0.3581817094026508
111,0.30599004044365113,0.35827307098990013
112,0.3025914051931974,0.3582951567479628
113,0.3016289399874065,0.35824417021815347
114,0.30095939030816615,0.35829196488762227
115,0.30058569222933795,0.35828515542813977
116,0.2989232925695241,0.35941102079668175
117,0.2994591111425627,0.3593767091584248
118,0.29984335870195783,0.3591445658492952
119,0.29932454614491555,0.35941463109688215
120,0.2999562970889084,0.3596411065717414
121,0.29980101719012425,0.3594618806815352
122,0.29887185026815044,0.35946516926112093
123,0.29791510539057864,0.35868356903368015
124,0.29792774061556715,0.35867664032772834
125,0.29794981005212506,0.35867137727207477
126,0.2978678765060818,0.3589908737486098
127,0.29776136958220584,0.358958951418929
128,0.2972675473723856,0.3589662765655122
129,0.29602809144890035,0.3592215218097419
130,0.2956979379074187,0.3586106846508651
131,0.295581504706347,0.3583643488793191
132,0.2955714704701671,0.35788555736329064
133,0.2949018473258624,0.357869482009337
134,0.29610441265551246,0.3583710115848609
135,0.296622283741219,0.35772991750240646
136,0.29637866624219555,0.3554365798921789
137,0.2964737993565848,0.3553943252844663
138,0.2966798397830527,0.3552597117162072
139,0.2964780119203237,0.35537036489733637
140,0.2969659103161172,0.3552714792246439
141,0.2969269435766394,0.3553058271043883
142,0.29690181398405213,0.35494609407009686
143,0.29572934645763105,0.3536210789770413
144,0.29557310890054805,0.35362233834020024
145,0.2949907742990886,0.35328430004703815
146,0.29482763724302463,0.35343942492383973
147,0.2941119761881562,0.35341421842383736
148,0.2930136929933761,0.3534614021290602
149,0.29282228059578175,0.3534446065085387
150,0.2906400588410156,0.35342879524073273
151,0.2910751617474764,0.3535715610185738
152,0.29081539245559845,0.35354552050394833
153,0.29320448322665466,0.35337331011469897
154,0.2934529102611452,0.3533582437722794
155,0.2931291199199908,0.3534360969503029
156,0.2921965567989208,0.35349327525583757
157,0.29306123443194976,0.35353953373318514
158,0.29261925995330246,0.3534745692040616
159,0.2923308656807261,0.35349173292988967
160,0.2903319871777287,0.353344710362702
161,0.2903989402605015,0.35334502023847847
162,0.29083306299912814,0.353331241085178
163,0.2900599134445857,0.35337786108921454
164,0.2897870579722874,0.353266972468826
165,0.2834637129824117,0.35349871782744813
166,0.28389698471513436,0.3535059856449182
167,0.28390544852822885,0.3535203589114311
168,0.28348134964702426,0.35367530890165205
169,0.2836840235427419,0.3536785513551255
170,0.2834852077619325,0.3536718250824863
171,0.2833127469884975,0.3536876111059922
172,0.28330441278266016,0.3539589860168036
173,0.28267146108805913,0.35401337337904604
174,0.2828545692822714,0.3541241875190754
175,0.28350126537084613,0.354089093436888
176,0.2833977301144398,0.352980136553134
177,0.2831369150684244,0.352975773115923
178,0.2836639741043462,0.3523416642288021
179,0.28377307894006154,0.352332550695363
180,0.2832078170988565,0.3510894600664861
181,0.2841028085987919,0.351624140400819
182,0.28437578961986315,0.3517853146778134
183,0.2835248088197131,0.35162000773594815
184,0.28172057636616676,0.35042107638379477
185,0.27908608907424837,0.35026734350260946
186,0.2781845312029085,0.35018470841942284
187,0.2779641149219268,0.3503034709346902
188,0.27758508277536037,0.3502695522832752
189,0.28042048238506195,0.35025197574854106
190,0.27508982503789403,0.35021533700815277
191,0.27504201363011765,0.35020765107147417
192,0.2755029951565192,0.35019052553915325
193,0.2735344389978081,0.3502339863766731
194,0.27377280434100004,0.35026369706460403
195,0.27381283276772944,0.34947938769200904
196,0.274057279975291,0.34776411843280874
197,0.27424614180632406,0.34776087360346636
198,0.2743259672884792,0.3477660277704474
199,0.2742786986936792,0.34772045805514507
200,0.27432062738694507,0.3477066858885462
201,0.27401243086756066,0.3477097421580942
202,0.27283216306366287,0.34765623650547933
203,0.27172633334700513,0.34737244254322236
204,0.2716600414677627,0.3473783734553312
205,0.27010244626895863,0.3473576229846619
206,0.2704129085332758,0.34736664071916684
207,0.270126273494893,0.347372723140399
208,0.2689562702974205,0.34676123270778614
209,0.2691425056217511,0.3467693209597898
210,0.2694956876846606,0.3467861913894705
211,0.26785119305881305,0.346764763487642
212,0.2677918341939594,0.34675749856102817
213,0.2674900196692202,0.34676858738162547
214,0.26732757133615725,0.3466157273544601
215,0.26842016240064626,0.34662184282530034
216,0.265155391841145,0.3468060032432384
217,0.2651760097648468,0.3468043372746335
218,0.26500212746945795,0.34680123067699115
219,0.26473629493900286,0.34667316132318876
220,0.26478405126937665,0.3466837390295493
221,0.26470912266819396,0.3467558608047415
222,0.2634753578929148,0.346702882669883
223,0.2635170208438234,0.34673354660958094
224,0.26307642355820265,0.3465704407701343
225,0.2631262017126977,0.34658173484512894
226,0.2629601081028866,0.34658007363663046
227,0.2627437716810531,0.34657836923418744
228,0.2611081628766376,0.3465753269838361
229,0.2609060840259759,0.34657609092116554
230,0.26086136084037986,0.34658527783813914
231,0.26003604706777067,0.34659426696701007
232,0.25935725907956686,0.34639534631121843
233,0.25843459982724115,0.346371607185919
234,0.25806280000874077,0.34637678209722395
235,0.25803986907318766,0.346367609655505
236,0.2578098095816553,0.3463813875681049
237,0.25784699711800224,0.34638867031333326
238,0.2579631269256638,0.34585759789324105
239,0.2582354025087191,0.3468327369497986
240,0.2555640854357964,0.3468404503860535
241,0.25534444255918504,0.3468343537641337
242,0.25532287156473144,0.34682723525368375
243,0.255598770097741,0.34680415759893574
244,0.2555133461851205,0.346806049030945
245,0.2552600548379865,0.3468026277526242
246,0.25547003031088295,0.3468082815449391
247,0.2545102877871746,0.3468075674450195
248,0.254393181599826,0.3468033421952964
249,0.2544966181116369,0.3468037296833438
250,0.25370711648315086,0.34653263808095514
251,0.25308453537029457,0.34652471819576747
252,0.2515283931949604,0.34677448333604943
253,0.25150689064402,0.346551081908173
254,0.2512853449003498,0.34629406742377167
255,0.2512795521327895,0.34614660994977947
256,0.251535967438143,0.34555525887860666
257,0.25149232844669467,0.3455284833669587
258,0.2517167109497842,0.34535380945786665
259,0.25181438907680537,0.34534096088782296
260,0.25201237973280205,0.34532823547690933
261,0.2520311476270824,0.34534404269246527
262,0.25186979778209845,0.34537485216626745
263,0.2518495799508157,0.345348581593324
264,0.2519584338534392,0.34544215838305864
265,0.252354042407182,0.34543244740292256
266,0.25220344924984295,0.3454503264774855
267,0.252473618545322,0.3454518749170933
268,0.2524834686973433,0.3454553108998518
269,0.25172877106512004,0.345462163991607
270,0.25180689185995087,0.34545707753249083
271,0.25088506050996634,0.34544842129587894
272,0.2507869456847472,0.345471911050015
273,0.25115109329591545,0.345468653100672
274,0.25084832025047443,0.34551536678751066
275,0.2507577523990482,0.3454638800173111
276,0.2508470321250585,0.34546435075310095
277,0.2510402828102223,0.3454765992873752
278,0.25114571060904484,0.3454699791079253
279,0.25103953400527607,0.34545484094559725
280,0.25103873442681535,0.34549241816335036
281,0.2510512828917156,0.34549106964628584
282,0.2506072503084302,0.3455043602892062
283,0.24815318163267838,0.345526967174436
284,0.2480286051992308,0.34552937272770673
285,0.24766416015428652,0.34552616632353067
286,0.24764752795630063,0.34551911397807944
287,0.24743852741322986,0.3455605187303849
288,0.24743822908652763,0.3455258648674161
289,0.24743227228640988,0.34552615965002176
290,0.24745580661219063,0.3455305726769169
291,0.24745820042466865,0.34552882949610464
292,0.24734911433630477,0.3455803184727515
293,0.24745065096478003,0.3455836423124562
294,0.24811521902171388,0.3456510884977487
295,0.2480614762441647,0.34533863931217823
296,0.24701573661586257,0.34535182944630627
297,0.2475164267495585,0.3453450430844793
298,0.2475721105984609,0.3453474238354746
299,0.24757205085616696,0.3453423669435868
300,0.2473661683406975,0.3453397515355302
301,0.247347112749598,0.3453372346914275
302,0.24787116743226417,0.345337507304977
303,0.24740939894488526,0.34533282450558744
304,0.2466430026570147,0.3453319815866248
305,0.24629195241325358,0.3453348830100767
306,0.2462559359220217,0.3453383682975788
307,0.2458522159279609,0.34531102021022575
308,0.24584553652012034,0.3453215830005706
309,0.24455932415114962,0.34531142768889134
310,0.24433425361782923,0.3453174179784554
311,0.24427882283490732,0.34531576086444776
312,0.24497293039256357,0.34532834843741433
313,0.24491283359184196,0.34531491394748953
314,0.24508400911921052,0.3453046576059213
315,0.2452557104742584,0.34530306882640593
316,0.24521976555163533,0.34530092722970435
317,0.24536423412444647,0.34530628076849296
318,0.24537678512871489,0.3453153722616559
319,0.24520784288454056,0.3453123508650455
320,0.24511228173093444,0.34531074862750044
321,0.24510396950874047,0.345258491033522
322,0.24510122750319652,0.345253377894556
323,0.2450817198527254,0.34525890838628526
324,0.24624351661246333,0.34526804129223987
325,0.2463783066824333,0.3452772745191369
326,0.24527954825802295,0.3443620317123782
327,0.24451753294952497,0.3443643867439026
328,0.24478590098253422,0.34400800717074226
329,0.24454223254750906,0.3439631396204951
330,0.24404907992626157,0.34407810470042544
331,0.2440707016161859,0.34423262139494754
332,0.24340729543071857,0.3444066856348147
333,0.2432009203254834,0.3444976482042853
334,0.24323811150905658,0.34448629942008574
335,0.24328215364296532,0.3440716785360546
336,0.24328875768731315,0.34406969987015046
337,0.24319091598729412,0.34407011626916845
338,0.2431764397105872,0.34407095281850686
339,0.2431895696140051,0.34407334393336264
340,0.243227221326164,0.3440677953038742
341,0.2431680757862896,0.34406596286986535
342,0.24288803715152119,0.34406174801112893
343,0.24268788988911716,0.34406331528147416
344,0.24254280939322664,0.3440556051124165
345,0.24253562038283166,0.34405378857085805
346,0.24244151441888437,0.34404806668101584
347,0.2423556257134721,0.3440438589995173
348,0.24200956818270797,0.3440435825578034
349,0.2420995830467116,0.34408679179564217
350,0.24158765926392672,0.34405884109001245
351,0.24157411014815197,0.3440468795732348
352,0.2415960775694234,0.34355771894138926
