Time(Iteration),UCBLinearBanditTheta,TSLinearBanditTheta
0,0.9863731078637367,0.9886152296858837
1,0.9661371659398748,0.9584492729067687
2,0.9572579381685145,0.926683224212464
3,0.9442058060189158,0.8883698853598775
4,0.9356121144089293,0.8650257911968169
5,0.9284962142832297,0.8640624962093144
6,0.9132924638696611,0.8529738363196415
7,0.8952602241142454,0.8266202687214369
8,0.8826758852403767,0.8109555998460964
9,0.8719404682210685,0.7926114923638863
10,0.8581237968643233,0.7824201186700657
11,0.8317719179781763,0.7733498449692522
12,0.8003143580241681,0.7587747020763798
13,0.7587760394630604,0.7446849340814456
14,0.7102219443152376,0.7067667379343461
15,0.6836592138130559,0.6861104534166221
16,0.650446949107902,0.6671951263490761
17,0.6167880011362233,0.6563373121486714
18,0.6141999196108376,0.6468392326117095
19,0.5940513318019831,0.5962823087092511
20,0.557129392592255,0.5654939644176104
21,0.526554883587459,0.5589493167471475
22,0.5086519836775979,0.5408597389230831
23,0.5009619815829044,0.5232486890398687
24,0.4582271494117336,0.5097415064922689
25,0.45458922914429484,0.508206382927719
26,0.448812139054215,0.497929307725408
27,0.4495272642206422,0.4931726174180103
28,0.44782534672301366,0.4781944134353459
29,0.44518569834177635,0.46711223117284667
30,0.4444310740795137,0.46490727836770124
31,0.43934950392334393,0.4563050859966376
32,0.43490380510872023,0.429524124645837
33,0.43643000244650565,0.4214978286782844
34,0.4335068447347741,0.4161510112632101
35,0.43199015189587664,0.4149606236251193
36,0.4244089832192944,0.4137191225380067
37,0.41888759146955856,0.40607697394060366
38,0.41618020073557105,0.40636463217148727
39,0.41328362101494925,0.39914110787764356
40,0.40967746457075116,0.3982997481309723
41,0.40969429009816044,0.3990410848876416
42,0.40980631975931514,0.3970208775047581
43,0.4073236760167641,0.3926392023532141
44,0.4105730893842507,0.3931126390469136
45,0.41027070250108355,0.393575853575027
46,0.40820895135369745,0.39173477346454766
47,0.4099511008382886,0.3949372668918073
48,0.40707267507495065,0.3945133583941615
49,0.4031173857325593,0.38625774090659243
50,0.400699141373069,0.3817705778709023
51,0.40020984295729767,0.3769068683296485
52,0.40067044518227907,0.36991505230022054
53,0.4006679276497612,0.36964595124182054
54,0.40041689080906745,0.36561343560005033
55,0.40046995665741836,0.3662220540820104
56,0.3987448201798294,0.364624359780283
57,0.39920167646615745,0.3640981778305426
58,0.39909851270604996,0.3640066381941115
59,0.3989628450372592,0.35749845553273063
60,0.3976577976011801,0.3572388021786708
61,0.39640957865850657,0.35777954101871234
62,0.3963230245786005,0.3583891960360124
63,0.3936202344946079,0.35366190117436896
64,0.3929689355710243,0.34925983815273015
65,0.39377251555938186,0.3494052943188473
66,0.3940668192200082,0.3466663619600113
67,0.3944785971187988,0.34522089683248547
68,0.39383254575262794,0.3459111125789858
69,0.3939942138709884,0.34425481081071724
70,0.39429168210284815,0.34239009615930216
71,0.3939823816042086,0.34229634496846206
72,0.39485772718845524,0.34311882686527934
73,0.3947804306320792,0.34220109485749545
74,0.3917753362650619,0.3417995522502032
75,0.39058301251395167,0.33529980763891953
76,0.3898471931961822,0.33405910582452647
77,0.3895632665280267,0.33329359319598273
78,0.3894673437762021,0.33338915271368463
79,0.38867230624439336,0.33112180404105107
80,0.38775654852241254,0.33137044077134276
81,0.3863553635038138,0.3310521607059908
82,0.3849313840264773,0.33028195628148055
83,0.3848400845145939,0.3276174119707639
84,0.3849596866457968,0.3272686556726792
85,0.38485952550571767,0.32661206634953055
86,0.38247934618205615,0.3258283623935848
87,0.37881059333021194,0.32208359175202605
88,0.3793982860300529,0.32085012604726393
89,0.38047045272554814,0.32269715563725204
90,0.3762391743664584,0.3216185952537323
91,0.3762266463453491,0.31942680844153043
92,0.3769904405676304,0.31990161991502647
93,0.3769970119078702,0.31846585977503344
94,0.37698872130970185,0.31782594909724227
95,0.3769204021681814,0.3140147331096528
96,0.37695567230281574,0.3106606936398704
97,0.3758451047849069,0.3091300842329249
98,0.37566145301271386,0.3095535969678644
99,0.37563216917551595,0.30902967824947214
100,0.37556592482867374,0.30815089102242366
101,0.3755529658284266,0.2987601012839951
102,0.37555771741428995,0.2976499315290161
103,0.3761403040281964,0.2971550713922696
104,0.376083782962534,0.2963534892445546
105,0.37642437508562676,0.29640643045899634
106,0.3763953353207396,0.29741167874247154
107,0.37650570299812575,0.29744888316720425
108,0.3769518936812563,0.2905886338832726
109,0.3771800028287168,0.28979201466003457
110,0.3770468046867417,0.28763331255055935
111,0.3770521682140791,0.2866809939007531
112,0.3769948179391983,0.286688041415066
113,0.37686822918796425,0.28618654932012777
114,0.3769308964216325,0.28628706389326947
115,0.3768284353054299,0.2863150159928463
116,0.3770749303569104,0.2863799162970122
117,0.37717931455092313,0.2869997622669899
118,0.37689197665752594,0.2862168858198397
119,0.37632806934301666,0.28627989533425746
120,0.37634340990506493,0.2865743385853331
121,0.3758433964169859,0.28632515730673835
122,0.37590354760197064,0.28538468981869086
123,0.37592785280627955,0.2852539095538994
124,0.3757260343533265,0.28484489449241324
125,0.37724022472746893,0.2845332866819743
126,0.3770416793588435,0.2840840158834576
127,0.37706423664999644,0.2801504599932062
128,0.37718436125117644,0.27930693423271474
129,0.3770099325347407,0.27979176117110394
130,0.37695046393039455,0.2788224387829438
131,0.37682535123009503,0.280106392709388
132,0.37687401323139047,0.2797160598665779
133,0.37682181467829945,0.27954596056529657
134,0.37682598527718164,0.27941248742315183
135,0.3768078642462346,0.27957297944047593
136,0.37652482594192943,0.2794018044383311
137,0.37659552505549254,0.27936237489540433
138,0.3765492419016364,0.2784107626311395
139,0.3765465849819113,0.276653351681694
140,0.3765595428863773,0.2766928777048675
141,0.3761986812001522,0.27672890845473097
142,0.37615236992759504,0.2766300461942376
143,0.3761661539483444,0.2764322039191726
144,0.3761997905654619,0.27640486712634327
145,0.37610177787740096,0.2741984967895109
146,0.37576361199417857,0.27326190787338545
147,0.37578226364027945,0.2728753304776941
148,0.37579844139026547,0.27283156016237226
149,0.3753064195974115,0.27283797911778185
150,0.3753260547037643,0.27348130219377775
151,0.3753877260579207,0.27364115320056365
152,0.37539441361553294,0.27460610657864104
153,0.37532385060733625,0.27384351778542937
154,0.3753313934180955,0.273931799281878
155,0.3752381484166278,0.27331132425573457
156,0.3752662791360413,0.2711057291738503
157,0.3749715081525617,0.26939816878253364
158,0.3750024416400528,0.2693232495570015
159,0.37489597082855297,0.2693110112644058
160,0.3749991327309305,0.2695717745665339
161,0.3750122582372146,0.26212016956899953
162,0.37415606907192894,0.26065359800398374
163,0.37419722042563563,0.26143267835508055
164,0.3742107821184475,0.26184035597774397
165,0.3742147574905324,0.2613362138053406
166,0.3742114292592179,0.26111545185742546
167,0.3742059106654493,0.26017824676322554
168,0.37419989075090765,0.2598255121325107
169,0.3742152889604546,0.2612855432439095
170,0.37427443037984903,0.2613310650445909
171,0.3739925738378191,0.2609834548894449
172,0.3739715731317737,0.26086711706374005
173,0.3739596672103798,0.26141544884363593
174,0.37397958241138857,0.2615152866694295
175,0.37331414085660825,0.2602302811272527
176,0.37586566144067957,0.2604500722996755
177,0.37588318493036676,0.2602531267503662
178,0.3758646402072747,0.2614744289374093
179,0.3758630929104292,0.261545110251146
180,0.3758437305649015,0.2609550711303289
181,0.37585071529271186,0.25987894822982305
182,0.37581542602926665,0.26061458338909954
183,0.37576423592609254,0.2603003970990136
184,0.37576962645704515,0.2593254400995708
185,0.3757201977460195,0.25903786915649707
186,0.37571721023390736,0.2590329007636647
187,0.37571932518033235,0.2587215519566038
188,0.375694638325681,0.2588165832427711
189,0.3756883174324716,0.2587793798658239
190,0.3750144307393338,0.25818061466549097
191,0.3748642929264197,0.25819746361701307
192,0.37486944278529727,0.2583807155822563
193,0.3748946108665993,0.2573036216889079
194,0.3748478602248607,0.25690347929403334
195,0.3748578539730612,0.25680626004983625
196,0.374864086824632,0.2568678248485322
197,0.37485781335489815,0.2566852493056161
198,0.37486332905341835,0.25662501871290166
199,0.3748509306640733,0.25474886519581463
200,0.3748668691585956,0.25448388295769786
201,0.3748482398852526,0.2515719025687035
202,0.3748210850559671,0.2512877900965719
203,0.37478694133148566,0.25148235652166046
204,0.3749105383592209,0.2515182738003179
205,0.37698276635226474,0.25154780512905556
206,0.3769838504845805,0.25155906920709875
207,0.37696878061443506,0.25143719324582275
208,0.37696955053832876,0.2515363498029969
209,0.37695625468844884,0.2516970523572494
210,0.37695168275465096,0.2516856797336108
211,0.376947459941489,0.2511111761173024
212,0.37711673126251605,0.24914663426285788
213,0.3771118229171655,0.24911565151860088
214,0.37710453361155394,0.2500466505012417
215,0.37710918542182265,0.2500487487346212
216,0.3771088248514034,0.2501442469152678
217,0.37710853980652376,0.2489109295125446
218,0.37743229282261515,0.24890622483850663
219,0.37779168984808986,0.24866658301486214
220,0.37716639609718966,0.24864673672198173
221,0.37715652188219534,0.24845932926040654
222,0.3771486586229559,0.24698951217724335
223,0.3771522273017581,0.24696607842386648
224,0.37715854387371656,0.24671708270938844
225,0.3772212879826286,0.24682639575819318
226,0.37722324623623227,0.24681126279654944
227,0.3772294891266883,0.24653845194406046
228,0.3767992603818781,0.2467774326938999
229,0.3767946303523523,0.24663953556631033
230,0.37679046708088754,0.24652975380226
231,0.3767465386342826,0.24720838711548146
232,0.3761498171896166,0.24734403764363747
233,0.3760015510491439,0.2477773676280497
234,0.3760002458575193,0.24598909255184606
235,0.3760027620544754,0.24595927016117117
236,0.37600717981199716,0.24567323181058334
237,0.37600844210758844,0.24610770893049794
238,0.3726329681915834,0.24611494658510263
239,0.37260320358616905,0.24583834937723442
240,0.3726022882390344,0.24570141646863516
241,0.372621794078735,0.2458141297559247
242,0.37261265770823987,0.24803408995719772
243,0.3726083963657939,0.2481518005718383
244,0.37260132540180935,0.24840189207784386
245,0.3725595725794386,0.24842824989208614
246,0.372725470223549,0.24838206816013425
247,0.3727250461762591,0.2487471838414313
248,0.3727370757197027,0.24880086372934165
249,0.37275419698944184,0.24863892570419832
250,0.37278326405025947,0.2485216363019198
251,0.37280717380541273,0.24858348224061136
252,0.3728305284197386,0.24856852308234628
253,0.3728195347316962,0.24828437231259107
254,0.37279624794567245,0.24821025750202472
255,0.37278966676687203,0.24820744074991546
256,0.37274797308808255,0.24855424526157624
257,0.3727118972898527,0.24857486743263119
258,0.3727967804372207,0.24309847484869426
259,0.37277842748167267,0.24037738268492684
260,0.37277468799439917,0.24037982994605459
261,0.3727707608828186,0.24020756702046078
262,0.3727685633066115,0.24010601800307568
263,0.37362479784175495,0.23988977379454365
264,0.37409431084902034,0.2399186399636674
265,0.37332573686351733,0.23980396978719778
266,0.3733210926155547,0.23978068278822726
