Time(Iteration),EpsilonGreedyMultiArmedBandit,UCBMultiArmedBandit,TSMultiArmedBandit,PHEMultiArmedBandit
0,0.5114793330879503,0.3318006908080017,0.3961665935171735,0.3318006908080017
1,0.8474428450435333,0.6726364241556795,0.8151179802242392,0.6726364241556795
2,1.1717951660616523,1.1134094806613393,1.108872260852335,1.1134094806613393
3,1.5536348004607126,1.5602746924697828,1.6069927552848344,1.5602746924697828
4,1.9087675108492554,2.020591330740673,1.8787981751242153,2.020591330740673
5,2.280242399989807,2.292652507516809,2.181266672269649,2.292652507516809
6,2.5897322545991117,2.5808037145159513,2.54032148903982,2.5808037145159513
7,2.920323558281102,2.995026491358064,2.934656663957992,2.995026491358064
8,3.2056503848014977,3.36040694855852,3.391662913896569,3.36040694855852
9,3.481926682739278,3.7797912273272587,3.755091182363993,3.7797912273272587
10,3.769328893673859,4.285972748026188,4.143513980619727,4.285972748026188
11,4.022975621908108,4.7160364465237326,4.4985353109469814,4.7160364465237326
12,4.278964983172614,4.968419021071372,4.804690803591056,4.968419021071372
13,4.482095138847003,5.420034833850723,5.153107255797323,5.420034833850723
14,4.71303060725915,5.784228403858945,5.411890224809255,5.784228403858945
15,4.949849886408601,6.124776859273599,5.760143503749924,6.124776859273599
16,5.138594215269665,6.461547404319044,6.174830980218616,6.461547404319044
17,5.277238806693235,6.816885889552742,6.541485652708604,6.816885889552742
18,5.499991513906539,7.2365409321913905,6.981721936952806,7.2365409321913905
19,5.733827286693684,7.692689645666723,7.405394872878238,7.692689645666723
20,5.934248863337475,8.184117902327179,7.787679006699226,8.184117902327179
21,6.103850241291279,8.548118860114641,8.248641030324144,8.548118860114641
22,6.293100938988005,8.93812431868817,8.637045018484276,8.93812431868817
23,6.62726132839442,9.266807446093972,9.041263227006883,9.266807446093972
24,6.843513984449908,9.592601102793422,9.438339373935905,9.592601102793422
25,7.0428704964173505,9.649208632802603,9.826502635957159,9.879291296583315
26,7.116029902499514,9.738849028303274,10.192862165542511,10.202896742247322
27,7.285014389714883,9.899863674367015,10.588765037876978,10.512904417135303
28,7.523791216031434,10.081476893119008,11.00581964708596,10.856810697737599
29,7.835505296736825,10.256075685553569,11.333487429824086,11.141441495947753
30,7.9883587727327665,10.50059393493086,11.804562775620639,11.495319128127038
31,8.145525730232771,10.76145056740866,12.284443438038933,11.849125999317359
32,8.265245606428428,11.038249108712966,12.706809082443332,12.104436091656805
33,8.392610167734874,11.320383539401785,13.130566551368736,12.394576698171516
34,8.5617506091629,11.608637829076471,13.585196212847213,12.767606803858245
35,8.678828441927065,11.970343249555864,13.916909420487196,13.064436846965384
36,8.730417680195488,12.376101160405025,14.24683119586937,13.405226137836928
37,8.751649940489955,12.805366074210829,14.630045377985502,13.789865577295322
38,8.904486299662228,13.212331700864386,15.056528186797673,14.122904857830344
39,8.925718559956696,13.61838058094887,15.450149916705694,14.47902370238262
40,9.02742070270099,14.04169473369231,15.896089279493495,14.818808155024684
41,9.130528313553837,14.52739034161387,16.355588215646396,15.11383494006176
42,9.246770351568745,15.059821575557677,16.698065811510414,15.541821199198646
43,9.316457013842077,15.561042386324232,17.02049627144757,15.872385114129035
44,9.427557564288529,16.09173536277327,17.43407044673641,16.30268142581618
45,9.568991623203058,16.59640360345489,17.802946079498575,16.74013647645976
46,9.730222382096699,17.154353906401635,18.230356608533697,17.071918632876212
47,9.861444231221691,17.658369336299792,18.53946187662085,17.342563024734478
48,9.996850671288959,18.141267485383622,18.940220979062765,17.67391294956348
49,10.026927501509856,18.69176224082856,19.238760433887144,17.94089110764745
50,10.129120397449324,18.97727995931992,19.64252903930275,18.262752070950427
51,10.276188682267653,19.23972415215009,19.966531571859353,18.59670009775011
52,10.476766065708027,19.400454035125055,20.37124425179509,18.89184607110355
53,10.497998326002493,19.601419406178643,20.70087497419947,19.28866948969347
54,10.784532728603182,19.821916591148952,21.089179081016034,19.48197337711851
55,10.861766485892057,19.989854961495304,21.475418368158067,19.823148129841577
56,10.958072013099812,20.211194513617674,21.764816587610376,20.20627597415089
57,11.156845230043945,20.42281036538023,22.25477893171655,20.61125802208812
58,11.327557404112945,20.708001650269157,22.59771875094531,20.91950035583465
59,11.545700848198454,20.943790257788656,23.03145330365072,21.38025666172448
60,11.6778612581522,21.225780705406383,23.476804100103003,21.680573480817788
61,11.730479313996588,21.56753074851625,23.921206254769935,21.899859711108537
62,11.751711574291054,21.918542493636714,24.270642921742876,22.216554433152872
63,11.837131622960802,22.245877463571258,24.709870785694797,22.513789803009168
64,11.873893218586021,22.611133330462152,25.108113771526554,22.75885514212779
65,11.942776763114438,22.9434822860047,25.5815225008464,23.061824910634964
66,12.102225680902993,23.23134634620761,25.902449837262118,23.364158183548902
67,12.14203376171021,23.676833642460014,26.204695336792685,23.654472616916514
68,12.239938697979387,23.997112940707115,26.545384764707126,23.91838074160355
69,12.319369415392021,24.382271685288057,26.878569588227272,24.203023245147357
70,12.38846767490804,24.80787711544979,27.249145241473126,24.552178390446795
71,12.409699935202505,25.146044687475797,27.649029854584096,24.92156011937623
72,12.57718382811767,25.474643494521256,27.95327961627145,25.16195503411485
73,12.66147076336698,25.736186441558054,28.353394876188077,25.388961340121618
74,12.730379219393894,26.159283886560114,28.81936140806912,25.666452983974136
75,12.781059546827757,26.405637868754155,29.236172372621194,26.066529395053244
76,12.869900179473813,26.721990671303548,29.575626125316745,26.452686894995907
77,12.966179696111974,26.912636480381668,29.953137748962035,26.63630167191773
78,13.040846741803344,27.34821641154492,30.29340258651222,27.03089351218722
79,13.221792511215828,27.66918736941442,30.743951889019268,27.360061746633153
80,13.299100640985037,28.02444466078967,31.17045230807752,27.629420532532386
81,13.376571542655839,28.31870576386539,31.60006501599775,27.989856240599124
82,13.476928411751265,28.610695322666658,32.03870332637452,28.233275065854478
83,13.568675100952948,28.989183156951604,32.471804922861935,28.529340189954542
84,13.706435835063704,29.269555768467796,32.87714088488078,28.867919706231213
85,13.74502341104803,29.644833296866913,33.2485189708056,29.103880205104453
86,13.831855675301004,29.900272056716567,33.455622866716126,29.464160133853465
87,13.937530751171593,30.266983941954145,33.88499697621292,29.74566446428326
88,13.965060493617624,30.614565842987183,34.24733206800967,30.026417093084422
89,14.047925930939712,31.04132169441133,34.54072106415849,30.39848747422842
90,14.099514815093622,31.293968860394955,35.061575045735154,30.73038752596063
91,14.159188180670355,31.605060735493584,35.50050134630022,31.091232826903877
92,14.21851519249797,31.88150877483855,35.95652191793987,31.508103636634445
93,14.374834054988579,32.23518029874741,36.226851748561145,31.811329400690084
94,14.463658211177517,32.50316138475432,36.559864582286664,32.193625553403514
95,14.595356825663277,32.773964096901615,36.89152574064319,32.47623103388192
96,14.712364913389013,32.99196517810263,37.27887558964146,32.64676966611959
97,14.822712804344565,33.33948408210005,37.700131598314734,33.04939176783252
98,14.857040153585583,33.77925361534673,37.97667019049957,33.334108251473594
99,15.117241343948871,34.1430450617911,38.41333513639403,33.66294839394929
100,15.18902048037954,34.47179691347266,38.91972387544176,34.08789305480311
101,15.325720367187179,34.83296216204679,39.36308210285096,34.40998071694923
102,15.422209074996925,35.11014329670228,39.66325046239293,34.69115797227148
103,15.443558048578026,35.44377659977677,40.04790089234821,34.93146146737341
104,15.600510976249078,35.811679667879716,40.444016297071265,35.25673158969639
105,15.65245088166549,36.04623293696988,40.74069970219473,35.679041900969466
106,15.744027148643449,36.42523976402616,41.123142103534875,35.92216216394344
107,15.788592122498002,36.74660900695282,41.57066364967045,36.244403610894906
108,15.858246427622174,37.05728967765881,41.86923191096387,36.518451474570796
109,16.017568352737804,37.32479407437355,42.2811964315859,36.85181726405521
110,16.045543625911872,37.51352738925689,42.674206412351076,37.1776625872038
111,16.20294682477602,37.84041013283699,43.07158136417216,37.391067589692746
112,16.344631157262764,38.146681366822826,43.454090312680975,37.72518012203052
113,16.391100243147726,38.43397856187035,43.86779978923964,37.95569828271751
114,16.577982923693007,38.73970334265987,44.31073114628667,38.17931989286155
115,16.59449074704641,39.0713287511059,44.6475930947884,38.58404135466186
116,16.760329945939972,39.40235889456956,44.992429307865606,38.87236403170071
117,16.834376423954186,39.69421048653382,45.4655612024607,39.150253664651984
118,16.886303526427064,40.0016244213723,45.951070288032035,39.36184528291808
119,16.949489236048827,40.19190137536605,46.385404285598085,39.65804153771133
120,17.019480427989272,40.517276487539604,46.791578205688765,40.012762134319814
121,17.060574676698884,40.833356069882214,47.148923961338326,40.36600532959392
122,17.20561101929011,41.10891677404049,47.52925459476969,40.633887531126256
123,17.26227888771591,41.336509563328136,48.032979889098144,41.06047134990426
124,17.40554774372918,41.70636993259716,48.41262667561836,41.33668818952363
125,17.441476176311692,42.01590547568135,48.85390706139424,41.58167190014531
126,17.50212285516492,42.329461509410564,49.26641481031298,41.84916601508432
127,17.664642865807867,42.64196145959002,49.66935645730428,42.22595106742385
128,17.865599239471354,43.12736358713722,50.02032109037769,42.538714145776524
129,17.915256348642494,43.37856351252354,50.363264077561084,42.80033378298753
130,17.933829465535148,43.76406381646717,50.830271384074805,43.09106847140117
131,18.00789590609191,44.07057881684726,51.16563985521901,43.410954495218775
132,18.13860515115196,44.28146897628619,51.60560417605802,43.76487606566899
133,18.234543748192472,44.76627082633011,51.90992144396,44.01691587938323
134,18.417900939223685,45.05837852240878,52.20542888187656,44.29502120463566
135,18.57920619267434,45.44996707789998,52.567411757701436,44.60196080470015
136,18.641914569565127,45.78024588314727,52.967858365771704,44.98057443717276
137,18.758672152626733,46.033090143205236,53.35823160824583,45.39642174594731
138,18.86861165282621,46.26650251385089,53.73176387052414,45.72273047407127
139,18.987852327981777,46.60124649510034,54.14824332196277,46.029205069105316
140,19.121278017930795,46.978260562497944,54.583221578786286,46.312372711546715
141,19.354950187754042,47.21910435609259,54.8995678699395,46.607770931246776
142,19.4131146161641,47.54510662213899,55.24554530612005,46.937587134340426
143,19.480740556071748,47.73258818938858,55.49936540850606,47.303772055441705
144,19.499313672964405,48.00850429755008,55.83158445872601,47.60912791132273
145,19.675370823079707,48.32487769856882,56.168460192146675,47.86862464981199
146,19.74357869495023,48.52659636329321,56.69915181910356,48.05492961749416
147,19.880538932757933,48.78870390637736,57.16491248144742,48.28132280956764
148,20.011412713618682,49.104652057696185,57.52968195455666,48.55360766438732
149,20.045264884958627,49.44013663187475,57.79294514714284,48.9408804512151
150,20.07415723410939,49.74184471383755,58.16693573172902,49.290841065548925
151,20.27933240588936,49.99162884326675,58.65753071148172,49.481648512231956
152,20.376268473588667,50.31210944687079,59.0574538726777,49.80604579954506
153,20.55074015279624,50.66161710978825,59.39375375481417,50.04036357898558
154,20.733303237511606,51.015252828414404,59.86352802231562,50.29510549625179
155,20.782454483296043,51.252453805766365,60.20829073423979,50.60433318453577
156,20.84789952392928,51.55700324998279,60.575865632514855,50.76369059974077
157,21.03342884479264,51.86321525559828,61.03240059550857,50.98915401693553
158,21.138906793606463,52.096502114398696,61.299065386750065,51.36120359299605
159,21.210934208865254,52.421835809069215,61.72307172282348,51.68107729230028
160,21.314992378518387,52.69298175430873,62.2068409635995,51.93579970286781
161,21.46263106411141,52.96521744803457,62.59703732746868,52.16238925309707
162,21.495082606427623,53.303817482468716,62.808164781825326,52.429248647238
163,21.615162884710696,53.572360180698865,63.214989888746175,52.650117451355854
164,21.64856654756234,53.91716293335759,63.65781455663425,52.996583948569665
165,21.730194339409838,54.22649101268022,64.00639636542422,53.324428159191015
166,21.853166809422046,54.63383511082314,64.37643629306191,53.6824441491266
167,21.91577895585989,55.01112890538225,64.86278532877137,53.84938664764169
168,21.931296953784873,55.27759494756649,65.2828101962589,54.08206820710026
169,21.946814951709854,55.62073947620676,65.73247441399371,54.2998853777565
170,22.000858528451108,55.88907228902038,66.16043757179224,54.579911374028505
171,22.08059688853859,56.17337375883295,66.4835710608222,54.90554416865355
172,22.131678663544477,56.403072621649,66.94274432273347,55.2009341248571
173,22.303453775978017,56.69683172926924,67.37548780178979,55.496121468675724
174,22.475924541841586,56.95262740091812,67.71482218183868,55.81577579841231
175,22.665451004032814,57.27107391241263,68.0430544779621,56.060982667654386
176,22.73953174189759,57.57796998825582,68.5071134620604,56.399353254796345
177,22.795153077387035,57.899193988485216,68.79552233219849,56.68421573445827
178,22.837367030852565,58.17632071946057,69.21783154255881,56.996157331961875
179,22.943948713390192,58.50963501532755,69.68910726664276,57.340828450237645
180,22.993560646420406,58.75940815142171,70.00473016442818,57.6595889949286
181,23.2172839447162,58.95689201903516,70.42973295218212,57.92853555486256
182,23.278817233974728,59.24391432969924,70.87071100831224,58.288030750967536
183,23.29739035086738,59.499747310291944,71.25941823767101,58.53273307669188
184,23.36175992338979,59.83460077182275,71.64682622902724,58.73062698495568
185,23.405278828324477,60.186610445045076,72.0358575630952,59.01476854354337
186,23.459770786524608,60.436823366553085,72.44090093557516,59.300313797302024
187,23.53959372770132,60.79348242741254,72.84835067518479,59.622750091233684
188,23.558166844593977,61.12987332994065,73.26781701835168,60.08612337629104
189,23.625119429980376,61.482606250762004,73.63705520523624,60.39956141066301
190,23.643692546873034,61.78054418388915,73.93728288727986,60.628251104653735
191,23.708791406636692,62.18013038013055,74.27526244360203,60.91402362317905
192,23.739505839963318,62.38484798265911,74.72767105558094,61.27608647783187
193,23.758078956855975,62.78884732283823,75.07244519624506,61.50060505722651
194,23.77665207374863,63.21315882631757,75.6638222589518,61.76455251766606
195,23.795225190641286,63.440915848969006,76.20258022162109,62.02903032552395
196,23.899594240362813,63.688108133562636,76.62176883747077,62.27802410541974
197,24.183828900019456,63.78257437834178,77.00769908021493,62.6073336748556
198,24.229776003818788,64.07197340934898,77.37223229244229,62.932641194398194
199,24.321055291152398,64.38544265326279,77.69990888395813,63.20188640084632
200,24.33807524241008,64.65778133730004,78.15389643110544,63.470298717893044
201,24.353029900128515,64.85233769947048,78.52903847188848,63.655843666888494
202,24.402994240925103,65.21967364362955,78.92680116907145,63.85916659717692
203,24.458538906535026,65.45610459442574,79.19966540798994,64.1207129000406
204,24.495757194389583,65.82953424011825,79.65067545594819,64.42853759144897
205,24.512265017742987,66.06517611168161,80.01379215878033,64.6974641966406
206,24.58005531373065,66.32064273842522,80.36983341368493,64.94598880095772
207,24.68755106190782,66.68264914002222,80.8126575098709,65.28274909319444
208,24.769583520579047,66.91693941498646,81.07559574376708,65.59338755427103
209,24.951776584950174,67.24694299143732,81.44368420592835,65.83130275369379
210,24.97034970184283,67.56013173699684,81.93471202263986,66.1255620112287
211,24.99776738866192,67.81893656455088,82.41101972045308,66.31603278600423
212,25.016340505554574,68.10037066868497,82.78878715415917,66.56963009396884
213,25.064120191089373,68.39518724918825,83.2409191468079,66.69529427944155
214,25.0680283638568,68.70698430502168,83.53746986427247,66.96050817059741
215,25.08605975249974,69.03059027044195,83.9076244336477,67.26437329240505
216,25.136215653065545,69.23218605162808,84.38832546831206,67.48323301337321
217,25.187710536746316,69.51780908646242,84.7731656613096,67.79581332191262
