Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit,UCBMultiArmedBandit,UCBLinearBandit,TSMultiArmedBandit,TSLinearBandit,PHEMultiArmedBandit,PHELinearBandit
84,15.411998887181724,14.503318751286788,27.97350883137177,6.25866613224319,29.66601290815135,20.492507059973068,27.206126402236713,6.25866613224319
85,15.547618500149204,14.579681660811252,28.279229222522865,6.286963258668203,29.91103502939776,20.607212641489674,27.4625425993161,6.286963258668203
86,15.705961925766536,14.763099776883484,28.711709059396107,6.32354342130068,30.13744689294301,20.790390345915682,27.838408268336497,6.32354342130068
87,15.839481199527276,14.882569747165007,29.099272515563854,6.359828283124688,30.44731914935508,21.049451374756497,28.13983490408046,6.359828283124688
88,15.962511327720554,15.000081356012908,29.312184741437694,6.403510475374782,30.685968994895,21.225552369595704,28.419126759841305,6.403510475374782
89,16.077209016016795,15.108723243145707,29.55680810455068,6.40592827143368,31.053329039087977,21.315937877656847,28.86242102386843,6.40592827143368
90,16.275728938037222,15.13522425225347,29.711019051302706,6.419908012781763,31.377627600503974,21.405528161121982,29.257795779789838,6.419908012781763
91,16.37152151934564,15.181920479703859,30.00925898604866,6.433887754129844,31.728363958242063,21.617242420914916,29.554723985127772,6.433887754129844
92,16.54988646952717,15.344065171771069,30.34005282079633,6.43528302956742,32.09483916276177,21.857841712755334,29.918278823888187,6.43528302956742
93,16.655486881178682,15.46705090449395,30.597260859842386,6.436678305004994,32.38472482300754,21.934621060516214,30.285890826719974,6.436678305004994
94,16.84045524129737,15.601152206215058,30.92867507940803,6.43807358044257,32.771933366411886,22.12381949103243,30.619169869048243,6.43807358044257
95,16.869445914140442,15.664631937781559,31.212392051817336,6.439468855880145,32.991886726763184,22.331914775413125,30.79841991282671,6.439468855880145
96,16.990681927027758,15.720981164756186,31.45344385935784,6.44086413131772,33.33263201623397,22.49488709422321,31.182454190337314,6.44086413131772
97,17.085552864823388,15.773835851201497,31.743426934255933,6.442259406755295,33.64764242422158,22.583402893079846,31.400186839393292,6.442259406755295
98,17.169421384125652,15.865859494228042,32.052336930589,6.44365468219287,33.999160041616335,22.661128946841593,31.765576985298033,6.44365468219287
99,17.234880901038153,15.91225479827232,32.41757683517341,6.445049957630445,34.31476381905715,22.753428176584055,32.042392348952326,6.445049957630445
100,17.364467986532354,16.048313778406452,32.72146127020006,6.446445233068021,34.58741585599655,22.92535596788381,32.30914908823129,6.446445233068021
