Time(Iteration),TSLinearBandit,PHELinearBandit
0,0.4131882410740723,0.3887625229841642
1,0.9826490524258414,0.7639830984858911
2,1.4115293682504653,1.2474944438330025
3,1.8751097171148685,1.6820146000585772
4,2.254545194264929,2.11497001506572
5,2.632602595933913,2.3939594584298494
6,3.068890033436687,2.8079586659750695
7,3.5414941023119804,3.2198971379716426
8,3.8554559380269615,3.570490739622161
9,4.1440226072063,3.992723165937947
10,4.522129336334064,4.335457812617038
11,4.843832328856193,4.671825239672232
12,5.16726440113778,5.133982183721306
13,5.639361444520984,5.456735796846944
14,6.068317990082791,5.993372515814984
15,6.489976735913255,6.418199623992251
16,6.748465278049748,6.788262460378357
17,7.061905794206387,7.217540693341998
18,7.432475238298816,7.716876535917807
19,7.779243076129099,8.07842332353863
20,8.158059230747908,8.447846825838933
21,8.522452868299576,8.853188947629697
22,8.851634909391366,9.267122237701457
23,9.22749447105723,9.677883382786586
24,9.56820249565311,9.96180121177827
25,9.84189957479244,9.995654726776202
26,10.046206813251532,10.038887991557868
27,10.22009393670486,10.163545867956046
28,10.535754268733058,10.22778170423872
29,10.844428319364237,10.309923437091268
30,11.143415305169906,10.397254012666393
31,11.392463237629693,10.518702713560023
32,11.604917226825043,10.671054129577318
33,11.802366051667034,10.737951542600873
34,12.078814126320863,10.792741266741064
35,12.268822859211523,10.884878346051027
36,12.565032578663386,11.018057310528928
37,12.809442340025763,11.11406960275037
38,13.050860313927563,11.203553543305715
39,13.205066467366942,11.322117811088635
40,13.392497715799616,11.405703834862468
41,13.618480529177512,11.48039367193832
42,13.714592353592815,11.56674280008577
43,13.902487511265258,11.627820888953286
44,14.082114855184727,11.736307789010946
45,14.284641844457024,11.817031704294417
46,14.47571145798997,11.948967246193927
47,14.72131257477667,12.056526334790153
48,14.901146382817483,12.181048429203454
49,15.177565479994666,12.411547377814916
50,15.34568918492528,12.511276230245553
51,15.477622768335177,12.566351680719992
52,15.69994245454578,12.644483350697469
53,15.909984013430918,12.67411629024043
54,16.125023532033392,12.752759027087771
55,16.274900792807138,12.803320108481742
