Time(Iteration),UCBMultiArmedBandit
0,0.4742611423778338
1,0.7991446015125021
2,1.1168623540998546
3,1.5148387822912148
4,1.8766787657541122
5,2.307392547609298
6,2.6672764325689813
7,2.9733361818518165
8,3.2675829866227013
9,3.746288790962223
10,4.027642354828096
11,4.337930880460235
12,4.739711586755682
13,5.156287134721839
14,5.546144045340435
15,5.875707867519635
16,6.272285718288232
17,6.7237439968458785
18,7.078318974191238
19,7.424898773686498
20,7.749529406032539
21,8.123181461310104
22,8.529951722687056
23,8.783721276085448
24,9.14182218899008
25,9.452039897723571
26,9.84641328166215
27,10.05106765262027
28,10.434327559414074
29,10.638672348771872
30,10.999239268895842
31,11.28240000946791
32,11.571859989894309
33,11.930577801596417
34,12.190246967267694
35,12.61515128484861
36,12.829945724794907
37,12.998694054676196
38,13.32190171795433
39,13.669013155259881
40,13.977843297485597
41,14.290882537972866
42,14.594425522201561
43,14.920904533761169
44,15.141460057710745
45,15.444072932632855
46,15.849714008059584
47,16.211935655357433
48,16.466075894831874
49,16.70898174213392
50,17.02854808681712
51,17.296475557164392
52,17.563596427312188
53,17.88082936988128
54,18.221349579469475
55,18.538744243268305
56,18.8738096929562
57,19.16022330277708
58,19.42966878710942
59,19.682379925248593
60,19.969662523071683
61,20.28125049414258
62,20.602370697137783
63,20.98538600504542
64,21.277010911487867
65,21.495066560535296
66,21.7730916142608
67,22.13354695623668
68,22.46207332363511
69,22.78702287882981
70,23.1650341992433
71,23.46211063400016
72,23.670500322579027
73,23.95710938041632
74,24.186960082544207
75,24.457853359906885
76,24.8062411546627
77,25.159841437556462
78,25.48833655824834
79,25.820745391668794
80,26.134571118545587
81,26.52515725250783
82,26.75048062063906
83,27.049725168854557
84,27.314333259610418
85,27.617371283213476
86,27.86723018425739
87,28.209283257891705
88,28.50251758378899
89,28.810855460035736
90,29.091991649392593
91,29.34972049540521
92,29.667310020928493
93,29.890111058489584
94,30.13752448941289
95,30.431719607450653
96,30.77400133367278
97,31.074911058064295
98,31.561054296483963
99,31.85041302390877
100,32.193929483874626
101,32.423561782737934
102,32.65331288393892
103,32.88433020676625
104,33.10367270980293
105,33.310051870880855
106,33.71975899921905
107,34.05627780653539
108,34.437658981729086
109,34.79997796378713
110,35.11021867626975
111,35.31719637359111
112,35.61036449166481
113,35.78293018044773
114,36.02011357335398
115,36.291729054810745
116,36.66989835912869
117,36.94953281842136
118,37.24565321968216
119,37.44355372386484
120,37.79230517537449
121,38.10963752487693
122,38.412949802163126
123,38.69832798165562
124,38.88561899074793
125,39.21100179985248
126,39.499218935909354
127,39.817196049456825
128,40.05243808051744
129,40.341573985660865
130,40.61631052025373
131,40.95701230347948
132,41.34801542987059
133,41.64374622879529
134,41.9561714429258
135,42.15140124019451
136,42.44729492705161
137,42.669960785043386
138,42.940238449357274
139,43.304365201831445
140,43.60019059382333
141,43.92758304886242
142,44.16679065606224
143,44.53688041687354
144,44.78546270687223
145,44.95498308154401
146,45.264704613151586
147,45.46066311560896
148,45.75540679122307
149,46.044780604055724
150,46.34444094383547
151,46.6341523450999
152,46.907777410687075
153,47.16456498794888
154,47.460704969672506
155,47.71100755847458
156,48.029250473939285
157,48.26564799090718
158,48.52502501454474
159,48.78465732311668
160,49.09906524088054
161,49.4191472586338
162,49.59732896113995
163,49.8540432784157
164,50.09801228756099
165,50.38883876627203
166,50.604398535709116
167,50.84780937047704
168,51.01254319104762
169,51.22827781570593
170,51.56768869084008
171,51.8490719348935
172,52.10443441135824
173,52.479038418128006
174,52.72335821902186
175,52.98622191717203
176,53.280706112669876
177,53.50927487524412
178,53.7658133223857
179,54.03622407412435
180,54.349594732510546
181,54.57063959231048
182,54.77778917900349
183,55.08439866966622
184,55.432127190769094
185,55.802132679649404
186,56.032239384761354
187,56.25798554579544
188,56.39634565786755
189,56.5303972826605
190,56.692544519161046
191,56.86906494387752
192,57.084035182722104
193,57.35410525847955
194,57.541797659920256
195,57.830664827018
196,58.000837669944325
197,58.20001844898062
198,58.40401331211751
199,58.61154728865787
200,58.843160648180046
201,59.06616052697416
202,59.29261850565631
203,59.5001981501001
204,59.68118340593253
205,59.86906187913489
206,60.01508532408131
207,60.275286316001676
208,60.52128210796926
209,60.76998934790894
210,61.02402113803159
211,61.22325842785159
212,61.464862909217025
213,61.69547432599431
214,61.981907372970554
215,62.23624173334389
216,62.44777518178246
217,62.77491730867909
218,63.03522902929352
219,63.28399446326104
220,63.55168576938068
221,63.79685030548277
222,64.09293728930643
223,64.2759587911445
224,64.52274661486106
225,64.73390559526511
226,65.00883082247518
227,65.25783502026016
228,65.50948706272177
229,65.82570031182735
230,66.1405645519933
231,66.37564023729837
232,66.70093152225203
233,66.95596358806873
234,67.18095627751835
235,67.36957570608902
236,67.58456655033395
237,67.86872622103623
238,67.97842710948491
239,68.20986317051596
240,68.49237796295357
241,68.65600737593141
242,68.81357025917819
243,69.03033981285104
244,69.22454964820102
245,69.45900163017333
246,69.6569848266139
247,69.81834557825698
248,70.07211571538262
249,70.27765560638676
250,70.60254702577359
251,70.7792717952756
252,71.03634952387888
253,71.32229742734799
254,71.45780701922328
255,71.60335231284105
256,71.81867831595785
257,72.04363181033872
258,72.21358770672953
259,72.39813549302303
260,72.64078281127084
261,72.84620363293438
262,73.07979269526979
263,73.33118646842554
264,73.59091368036974
265,73.83811048039863
266,74.16435442505227
267,74.36003345781324
268,74.68303628772088
269,74.95260622787903
270,75.23170788959683
271,75.50591629679077
