Time(Iteration),EpsilonGreedyLinearBandit,UCBLinearBandit,TSLinearBandit,PHELinearBandit
0,0.3842722672277389,0.3352670983731906,0.3809314061558512,0.3352670983731906
1,0.8946272517551508,0.6650773908419783,0.8478127896912824,0.6650773908419783
2,1.1370882530424422,0.8309619098781837,1.3037737169740597,0.8309619098781837
3,1.454447691107784,1.084606152786376,1.6840973035874796,1.084606152786376
4,1.7581662882210782,1.290881954647678,1.9422030190784543,1.290881954647678
5,2.0547228765818923,1.3638036290928168,2.3331645339371248,1.3638036290928168
6,2.3560369009547175,1.525026535573778,2.6228390739022576,1.525026535573778
7,2.5408646810874687,1.7342406385949265,2.967623104727862,1.7342406385949265
8,2.7224291468025617,1.9340986014861579,3.313101185822421,1.9340986014861579
9,3.0179982494450424,2.0666393370132963,3.6414349660073446,2.0666393370132963
10,3.310895907779531,2.1631118870309742,3.971398689085645,2.1631118870309742
11,3.5581891745740926,2.3128371284320206,4.37868623876817,2.3128371284320206
12,3.783133003253615,2.375071465846284,4.592928921163629,2.375071465846284
13,3.972203167954248,2.4217787841677714,4.89567063212142,2.4217787841677714
14,4.1888453096036375,2.463897836065364,5.212590985461489,2.463897836065364
15,4.375587629743449,2.5125337981212454,5.552572156595874,2.5125337981212454
16,4.541387465050059,2.5575136739002295,5.847200000153501,2.5575136739002295
17,4.711083232337018,2.6150782167083513,6.146957262757441,2.6150782167083513
18,4.915749315377193,2.6696173306127577,6.557867456154945,2.6696173306127577
19,5.109977093988251,2.7013493713863324,6.9451528708392996,2.7013493713863324
20,5.376441095232925,2.733081412159907,7.292609733659619,2.733081412159907
21,5.560453490432067,2.7593811345743338,7.4786545520576,2.7593811345743338
22,5.747808715766221,2.775009335549645,7.6946683708585395,2.775009335549645
23,5.99753123654583,2.7906375365249563,7.8608059795166225,2.7906375365249563
24,6.20269737539863,2.8062657375002678,8.133722768358819,2.8062657375002678
25,6.335273522291153,2.821893938475579,8.330743550777523,2.821893938475579
26,6.62529481882777,2.8375221394508903,8.495849290035203,2.8375221394508903
27,6.6600235714685185,2.9155368439947535,8.706094314089558,2.9155368439947535
28,6.814108103152938,2.9999112052664403,8.890304391713052,2.9999112052664403
29,6.954819251578506,3.0253657903246927,9.112544415756851,3.0253657903246927
30,7.133571650063466,3.0409939913000037,9.354468880215784,3.0409939913000037
31,7.366278766525189,3.056622192275315,9.591052606158863,3.056622192275315
32,7.61356601246675,3.072250393250626,9.867096216418108,3.072250393250626
33,7.8309465737381485,3.0878785942259377,10.04595730598274,3.0878785942259377
34,7.90265537209766,3.117951153009206,10.33090866447713,3.117951153009206
35,8.121325792868415,3.133579353984517,10.581354063048188,3.133579353984517
36,8.227879727232253,3.1492075549598284,10.802644261978761,3.1492075549598284
37,8.506604053083041,3.1648357559351394,10.961810940624689,3.1648357559351394
38,8.731909677692803,3.180463956910451,11.108252751662109,3.180463956910451
39,8.949952562189491,3.1960921578857624,11.34182125635074,3.1960921578857624
40,9.1208580773863,3.2117203588610734,11.47690337291354,3.2117203588610734
41,9.211653208865869,3.227348559836384,11.704456848717118,3.227348559836384
42,9.377730984839523,3.2429767608116946,11.87617736144785,3.2429767608116946
43,9.555413282219943,3.258604961787005,12.039583642914314,3.258604961787005
44,9.590142034860692,3.274233162762316,12.30763899742276,3.274233162762316
45,9.630864488298373,3.2898613637376264,12.563362587394662,3.2898613637376264
46,9.828445039899893,3.305489564712937,12.720867660389905,3.305489564712937
47,10.01459559651758,3.3211177656882476,12.909110780959129,3.3211177656882476
48,10.189709273174707,3.343258378532076,13.080207568556736,3.343258378532076
49,10.314323816551132,3.3841578748337042,13.449050072682226,3.3841578748337042
50,10.357323098531975,3.4062984876775326,13.65367136738794,3.4062984876775326
51,10.479697382622263,3.4284391005213606,13.843661217069675,3.4284391005213606
52,10.627793923493593,3.444067301496671,14.051985594132546,3.444067301496671
53,10.807507395242473,3.4596955024719818,14.294095141375056,3.4596955024719818
