Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit
0,0.4093025113122799,0.3733839287123777
1,0.739345544655696,0.7405410993215453
2,1.0602323994865903,1.0798305140666449
3,1.2623771101129488,1.3659267038693035
4,1.5509796771981619,1.7494619838798418
5,1.7823674363189403,2.015385197315365
6,2.073402705799965,2.280120703847049
7,2.361908082043063,2.5994591521136416
8,2.568268180736345,2.890496450696632
9,2.8767069229464015,3.288530151032597
10,3.109075882291386,3.4746255971232096
11,3.3562405197527125,3.8142982062138016
12,3.509696695355121,4.071778625647833
13,3.6728774727637834,4.33226893432977
14,3.853141736580512,4.5841486164024845
15,4.042584988072543,4.824337057712013
16,4.285515540190227,5.081467025537784
17,4.435589478771527,5.2203606657504436
18,4.578131709879955,5.473490642572896
19,4.898272650860368,5.666384351614102
20,5.042088035174528,5.794520431756451
21,5.309526754998703,6.188676656274849
22,5.6278062631879076,6.344593163838085
23,5.8860953384368235,6.511391387747906
24,6.105365662172895,6.596917721904596
25,6.363861079660094,6.756262291760296
26,6.52233508289801,6.91168252056473
27,6.6308926820165635,7.075161142354707
28,6.86266728495215,7.245442713249392
29,7.196539209255114,7.359013129526415
30,7.3849352492539655,7.501090152542221
31,7.544053188184992,7.66311741278165
32,7.757410191437929,7.783103293665505
33,7.943340414762817,8.047223527436222
34,8.245278605523072,8.254181896844731
35,8.538693055355026,8.354659294482305
36,8.742376666570825,8.520723455365477
37,8.99037510224181,8.795585286376106
38,9.161398657841314,8.936031261978702
39,9.293266096187256,9.169167671517211
40,9.448549828047996,9.437433932690155
41,9.781344987339649,9.567444666724935
42,9.908590210798984,9.7581131882648
43,10.075293098339122,9.910147040686974
44,10.216076819654978,10.032122564827374
45,10.384374636790811,10.233890102016096
46,10.513175555735982,10.394136837455164
47,10.660588142812136,10.630417093983445
48,10.803107330267235,10.780929848830683
49,11.007639829494083,10.993496717242351
50,11.29387134479401,11.143088506102973
51,11.477207869360075,11.312953365299311
52,11.61506826716631,11.439080892638348
53,11.703229861219299,11.595120439295341
54,11.832450965886514,11.781541277695586
55,12.031268083710057,12.01017029624522
56,12.22136870854005,12.158237630971303
57,12.291690134575408,12.281327988959687
58,12.39254533096162,12.491644202316177
59,12.506749122990602,12.569206847855245
60,12.696297666214509,12.667279875963501
61,12.902433119721739,12.794167961440316
62,13.033324723256907,12.956794623711009
63,13.182719481089801,13.177126753506403
64,13.442664471459599,13.365941174321915
65,13.628538735996822,13.584831052066004
66,13.76086357804381,13.658358994137362
67,14.028771198380065,13.842378142804304
68,14.194595221858728,13.932313828029947
69,14.342016955720856,14.116302081264857
70,14.450368601730062,14.203643042399728
71,14.5621920370054,14.322253468149437
72,14.714056461438858,14.444632147370271
73,14.900058171167831,14.605320970471363
74,15.066784593415496,14.731753915799533
75,15.139696093503261,14.977043972862536
76,15.415460703935244,15.088093291226736
77,15.54544080435834,15.217473111274334
78,15.752639261933965,15.339762930015983
