Time(Iteration),UCBLinearBandit
0,0.4298772441540253
1,0.7466747530552649
2,1.051400748542894
3,1.3443634473638753
4,1.6661451887602694
5,2.131765625943549
6,2.381020902859382
7,2.695680523248193
8,2.8867080584753095
9,3.137232561778692
10,3.384127503224285
11,3.7406572020168425
12,4.017598910025178
13,4.383035705968055
14,4.77872019179755
15,5.11309295842838
16,5.465322763950724
17,5.759948814494342
18,6.1181843866656385
19,6.541549570965763
20,6.773604376127056
21,7.16653617584434
22,7.482089566314576
23,7.558822993445228
24,7.8387690301488515
25,8.126030629691982
26,8.317825820022936
27,8.419386423886491
28,8.544569118745176
29,8.711205950380982
30,8.914087033498882
31,9.142799376403776
32,9.376190307581911
33,9.55570989319081
34,9.743137955829404
35,9.850689816592222
36,9.959195964095816
37,10.116938393423492
38,10.248481477743614
39,10.456146553173154
40,10.607350688497348
41,10.874899313453962
42,11.052869239356777
43,11.218803357929511
44,11.393898374371187
45,11.589738873344999
46,11.847949711080924
47,11.943278681081223
48,12.161231947431038
49,12.32380358822905
50,12.549124621655945
51,12.678586256659305
52,12.824215746534161
53,12.996847895009802
54,13.088030638406158
55,13.271282403349128
56,13.398756538612119
57,13.56845340248756
58,13.687324442929247
59,13.824358820080601
60,13.93358040775313
61,14.060581364543676
62,14.211508463922964
63,14.431719606673147
64,14.547262084748871
65,14.64410598772829
66,14.733923433812251
67,14.898538586695437
68,15.047356069670087
69,15.244284325646282
70,15.308535362054261
71,15.442100656973594
72,15.654138406558724
73,15.804153686747389
74,15.98423114484325
75,16.029743072960155
76,16.116719724948375
77,16.240353619396757
78,16.36773036414599
79,16.467668528901562
80,16.58623872166779
81,16.800308095357522
82,16.905847018544726
83,16.98300742630031
84,17.102577962988235
85,17.188404787304474
86,17.43313827372614
87,17.569366618880792
88,17.720219946874316
89,17.770499040020745
90,17.932552468308682
91,18.016781150017707
92,18.077184375753202
93,18.169894313493426
94,18.291827500380197
95,18.413899879350318
96,18.617442596943157
97,18.64274933892846
98,18.760541076360774
99,18.88830871875832
100,18.9949945678974
101,19.152526840888694
102,19.202587031314966
103,19.276565709617604
104,19.371962856392383
105,19.4613019758107
106,19.555800914282212
107,19.699474261364255
108,19.793309341921923
109,19.95188521839345
110,20.068785394077977
